jsonl_file,term,text,source_csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 496736 to a friend.
Friend's name:[

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 153136 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 610849 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 637499 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 463627 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 367896 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 171696 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 133438 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 466003 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 4704086 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 210474 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 453670 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
/home/ekorukluoglu_umass_edu/beam2/BEAM/olmo-search/shards/shard_00000000_processed.jsonl,\n\nEmail a friend\n\nPlease complete this form to email a link to home 496736 to a friend.\nFriend's name:\n\nFriend's email:\n\nWrite your message here:\n\nYour name:\n\nYour email:\n\ntravel news and deals\n\nPlease type the word shown above\nin the box below:,"

Email a friend

Please complete this form to email a link to home 675263 to a friend.
Friend's name:

Friend's email:

Write your message here:

Your name:

Your email:

travel news and deals

Please type the word shown above
in the box below:",test1.csv
