,en,es,tr,vi,st,yo,tn,ty,mai,mg,en_shuffled,es_shuffled,tr_shuffled,vi_shuffled,st_shuffled,yo_shuffled,tn_shuffled,ty_shuffled,mai_shuffled,mg_shuffled
EuroLLM-9B-Instruct,38.15261288767617,32.47806485601321,33.31993742391473,23.984762301452907,16.057943895139136,26.871523244443292,8.246267014074066,23.85626833112527,22.725362859502,22.11738642813925,25.962425366083853,19.2407300486206,22.592692604208004,21.300606382120733,11.352931195860869,17.39556696578553,5.917816264219935,13.37221587485721,10.13523382308607,10.760412436214047
Llama-3.1-405b,80.52556382223743,73.96990144259635,70.25502845882622,68.64014557331566,47.65504622712431,59.2556019594646,30.002682124892086,42.35341229462465,53.515181491898424,52.012963530680565,,,,,,,,,,
Llama-3.1-70B-Instruct-quantized.w4a16,74.03842265286272,56.64135333909076,39.83131230044815,40.62605046075135,47.05679594011026,59.27248459093551,26.405324938208146,42.72373639371851,33.95839127844474,52.501279051386845,60.80469502835157,48.864414288267746,49.65242712720511,48.7858134967901,36.600663550662105,50.48615940706493,23.142369370112927,33.07618397969861,24.70142573793813,42.72398284518706
Llama-3.1-70B-Instruct-quantized.w8a16,61.37865928731914,37.06068301063392,32.975226511741546,38.78461455644366,24.33326773286383,26.368570370904262,15.09627826135373,24.35741824014664,16.420957754626134,30.015346376903214,36.48691424558228,21.037143065293524,29.187659060508793,28.28732502842812,20.889354399073763,21.934755152705826,12.202262861713828,20.63308558175938,11.82717236600609,27.81394429663499
Llama-3.1-70B-Instruct_,74.54715434471372,53.576132046465354,35.68291469797762,38.417157231391826,49.20957120233702,62.226074696146505,25.86136117145593,47.3650775208874,33.350881877212935,56.39970889103923,59.626199997173565,45.830547358417014,44.58914653005177,45.341518860128126,38.17826748934375,51.74272066640804,22.14016833420307,34.6064948471084,23.72692558895928,44.23503263988105
Llama-3.1-8B-Instruct-quantized.w4a16,47.784997995097015,32.67138973124345,24.251920373415224,23.670437401001045,27.45877728302653,26.09503184491961,12.66649554128339,23.886727414033523,7.729476110599477,17.281409381979383,37.179766160899376,30.309368081513643,27.5953682215209,19.295790585045747,26.719900071240843,22.766532529881623,9.877837212271222,9.70459558923537,2.0639646704881613,16.421764001691653
Llama-3.1-8B-Instruct-quantized.w8a16,53.42472761075886,42.90625900903625,35.17065653619438,32.59711146609949,28.825189873584396,33.006861585654015,15.9121204657913,30.527443650098324,8.707307660996609,25.269769881289573,41.30044986353817,38.28451337473443,34.66248203847842,33.425515919669884,26.807576862407846,28.836055406892932,14.899030809638978,25.13629608975819,4.280314329424444,24.041187360528347
Llama-3.1-8B-Instruct_,53.89546641625272,42.723050754960305,34.16051184403982,35.01592392044185,29.14052735717553,33.70111324668682,15.899334892407744,30.674108581203633,10.018143740874507,26.164864519477245,41.923150728642625,38.22335880644944,36.12333064360949,36.20582708336707,28.086359446057205,28.986472066661722,14.94000868026285,24.758222212697667,5.612162506252127,24.53268335889267
Llama-3.3-70B-Instruct,72.8460652850275,48.68986336999459,41.607881691491755,41.968431906017514,48.86494777015608,63.60506355120715,25.671621440080884,52.51577302746987,31.77949240674555,59.25051329769681,56.10270921035277,39.63481687902122,41.46560628198184,38.033066088343524,35.26913970314937,50.156836054164124,18.167158185742032,34.18969692588456,14.37463300240865,41.56210785992106
OLMo-2-1124-13B-Instruct,62.95112639472028,45.88606042850151,47.0998043010091,48.481000573948485,33.105551391881384,48.87930977210027,16.62019789671154,31.13957785286926,4.458278382824244,39.29406920091087,50.96656254649387,39.13294077482875,43.187802564494774,41.537860305007854,22.570469980531552,45.275000936318904,14.44020989637553,25.843371345494752,2.6747063791435437,36.0150523304698
OLMo-2-1124-7B-Instruct,53.991668870237056,30.879664589079823,41.341743149866815,42.13119538374374,27.29676000760661,43.825937427835406,11.406558387279192,25.336867666645162,4.105143860565505,22.34833108483449,44.51588398286875,21.873399879860788,37.13554176820661,40.152088941755835,24.613906086420187,35.003047770588715,11.372745855072615,14.345804401710017,1.803940973457142,15.962866779449264
Qwen2.5-7B-Instruct-1M,45.78738361030329,37.98770626394586,36.45810841667184,35.426878674343,18.208990124546883,26.19836531000149,10.147022467919975,19.727026408136503,16.518066189164117,22.426539805654276,32.09402680350318,23.916846846183926,24.169667725696733,28.90663183832212,14.696586077387947,22.833393527466313,9.559197499276687,16.192503217904026,13.729276363864075,17.73625396122677
gpt-4o-2024-11-20,87.95228368088908,78.94729873144819,77.81910963921067,81.59801654030342,62.06677665567874,72.61242294248063,32.164886753363575,55.72354239508987,66.68982194896506,74.87485786673005,76.3112238289041,68.2667513131563,66.95300990113697,64.01271835755696,47.29975401259554,54.84033514668537,25.71870921746242,42.215123129415495,41.31375204471698,57.59270950344562