en_masked,en_masked_results,tr_masked,tr_masked_results,vi_masked,vi_masked_results,es_masked,es_masked_results,en_masked_shuffled,en_masked_shuffled_results,tr_masked_shuffled,tr_masked_shuffled_results,vi_masked_shuffled,vi_masked_shuffled_results,es_masked_shuffled,es_masked_shuffled_results
"[MASK] unslung his bindle and dropped it gently on the bank. “I ain’t sure it’s good water,” he said. “Looks kinda scummy.”",Unknown,"[MASK] sırtından dengini indirip usulca yere koydu. ""Pek temize benzemiyor bu su,"" dedi. ""Köpükleri var baksana.",Köroğlu,"[MASK] gỡ ba lô, khẽ đặt xuống đất: - Tao không chắc. Nước có vẻ dơ lắm.",Tao,[MASK] desató su hatillo y lo posó suavemente en la orilla. —No estoy seguro de que esté buena –dijo—. Parece un poco sucia.,María,"kinda unslung said. scummy.” “I [MASK] good “Looks and bindle it’s dropped ain’t on his it water,” the sure he bank. gently",Tom,"var koydu. sırtından benzemiyor temize indirip bu yere dengini usulca ""Köpükleri [MASK] baksana. dedi. ""Pek su,""",Köpükleri,"xuống Nước Tao gỡ [MASK] chắc. - dơ đặt lô, lắm. khẽ không có ba vẻ đất:",Nước Tao,esté lo buena desató orilla. —No sucia. que un la suavemente posó en estoy seguro su poco hatillo –dijo—. de [MASK] y Parece,Juan
"“Oh, sure, [MASK]. I remember that now.” His hands went quickly into his side coat pockets. He said gently, “[MASK] … I ain’t got mine. I musta lost it.” He looked down at the ground in despair.",Wallet,"""Tabii [MASK], tabii hatırladım şimdi. Birdenbire ellerini ceketinin cebine daldırdı. Usulca mırıldandı: ""[MASK]... benim kartım yok. Kaybettim galiba. Büyük bir üzüntü içinde gözlerini yerden kaldırmıyordu.",Kartı,"- Ờ! Bây giờ tôi nhớ ra rồi. Nó vội thọc tay vào túi áo. Nó nói, giọng run sợ: - Thôi chết rồi, anh [MASK] ơi, tôi đánh mất rồi. Nó nhìn xuống đất thất vọng.",Tôn,"—Ah, claro, [MASK]. Ahora me acuerdo. Introdujo rápidamente las manos en los bolsillos de su chaquetón y agregó suavemente: —[MASK]... No tengo mi tarjeta. Debo de haberla perdido. Miró al suelo lleno de desesperación.",Juan,"mine. got said lost “[MASK] looked hands that I coat quickly musta the “Oh, His in into gently, sure, He pockets. [MASK]. I ground … down his side it.” He now.” went at remember ain’t I despair.",John,"benim hatırladım galiba. Büyük gözlerini Kaybettim kartım mırıldandı: Birdenbire ""[MASK]... [MASK], kaldırmıyordu. Usulca yerden ceketinin içinde daldırdı. ""Tabii tabii ellerini cebine bir yok. üzüntü şimdi.",Kaybettim,"đánh vội túi tôi chết tôi áo. rồi. rồi, Ờ! đất thọc giờ Thôi vọng. rồi. xuống sợ: giọng Nó nói, - [MASK] anh thất ra tay nhớ Bây Nó nhìn - vào ơi, mất Nó run",Ngọc,"Debo lleno perdido. mi suavemente: de —[MASK]... Introdujo desesperación. en manos claro, haberla bolsillos [MASK]. su rápidamente Ahora y acuerdo. —Ah, al de agregó chaquetón tarjeta. Miró las de me No suelo los tengo",Don
"“I … I,” [MASK] thought. His face grew tight with thought. “I … ain’t gonna say nothin’. Jus’ gonna stan’ there.”",[MASK],"""Ben... ben..."" [MASK], düşünüyordu. Düşünmekten yüzünün çizgileri geriliyordu. ""Ben bir şey söylemeyeceğim. Hiç ağzımı açmayacağım.",Ben,[MASK] ấp úng. Mặt dài ra vì có vẻ nghĩ lung : - Ta... Tôi... Tôi không được nói gì hết. Tôi sẽ đứng im đấy.,Tôi,"—Yo... yo —empezó [MASK] pensativo. Su rostro quedó tenso de tanto pensar—. Yo... no voy a decir nada. Me quedo allí quieto, sin decir nada.",[MASK],"with tight Jus’ there.” stan’ … “I thought. gonna grew face gonna nothin’. thought. say His I,” [MASK] … “I ain’t",Stan,"şey söylemeyeceğim. çizgileri Düşünmekten geriliyordu. [MASK], ""Ben... yüzünün bir ""Ben ben..."" düşünüyordu. açmayacağım. ağzımı Hiç",[MASK],lung nghĩ Tôi... Mặt nói đứng ấp Tôi được sẽ vẻ vì đấy. Ta... : im - úng. dài Tôi [MASK] gì không ra hết. có,Tôi,"nada. [MASK] sin pensar—. de Me Su quieto, —empezó decir a tenso quedó —Yo... voy no rostro yo pensativo. quedo nada. decir tanto Yo... allí",Juan
"[MASK] droned to himself softly, “I ain’t gonna say nothin’ … I ain’t gonna say nothin’ … I ain’t gonna say nothin’.”",Jake,"[MASK], kendi kendine mırıldandı. ""Bir şey söylemeyeceğim... bir şey söylemeyeceğim... bir şey söylemeyeceğim...",Kendi,[MASK] lí nhí: - Không được nói gì hết... Không được nói gì hết... Không được nói gì cả.,Nguyễn,[MASK] canturreó suavemente: —No voy a decir nada... No voy a decir nada... No voy a decir nada.,Elena,"say nothin’ … say “I I droned softly, gonna gonna ain’t nothin’ ain’t ain’t [MASK] say I himself … gonna to nothin’.”",God,"söylemeyeceğim... söylemeyeceğim... [MASK], ""Bir bir kendi bir söylemeyeceğim... şey kendine mırıldandı. şey şey",[MASK],nói nhí: lí Không được Không [MASK] cả. gì - gì được nói nói hết... được gì hết... Không,Ngọc,decir nada. decir No a suavemente: a —No canturreó voy decir voy No nada... nada... [MASK] voy a,No
"“Run us out, hell,” said [MASK] disgustedly. “We run. They was lookin’ for us, but they didn’t catch us.”",John,"[MASK], tiksinti ile: ""Ne kovdular, ulan saloz,"" dedi. ""Biz yağladık tabanları. Bizi aradılar ama, bulamadılar.",Kovdular,"[MASK] đầy vẻ chán chường: - Trời! Tống cổ! Đấy là may mình trốn thoát nước. Tụi nó lùng riết lắm mà không thấy đấy thôi, con ạ",Nước,"—No nos echaron, qué diablos —dijo [MASK] con rabia—. Nosotros fuimos los que corrimos. Nos buscaban, pero no nos encontraron.",[MASK],"for lookin’ didn’t out, us.” they [MASK] us disgustedly. but said us, was “We “Run catch run. hell,” They",They,"""Biz ulan tiksinti kovdular, ama, bulamadılar. dedi. [MASK], yağladık tabanları. Bizi ile: saloz,"" aradılar ""Ne",[MASK],"[MASK] Tụi mình cổ! con nó - may Tống Trời! lùng ạ mà chường: thoát đấy nước. là vẻ riết Đấy thấy trốn chán lắm đầy thôi, không",Tống Trời,"buscaban, que diablos —No echaron, —dijo encontraron. no con [MASK] rabia—. corrimos. nos qué Nosotros pero los fuimos Nos nos",Diablo
"[MASK] still stared morosely at the fire. “When I think of the swell time I could have without you, I go nuts. I never get no peace.”",He,"[MASK], hep o asık suratla ateşe bakıyordu. ""Başımda sen olmasan ne eğlenirdim. Düşündükçe aklımı oynatacağım geliyor. Bir dakika bile rahatım yok senin yüzünden.",Kemal,"[MASK] vẫn càu nhàu, nhìn vào bếp lửa: - Thật là điên đầu khi tao nghĩ là tao có thể thỏa thuê như thế nào nếu không vướng mày. Tao có được một phút nào yên đâu !",Tao,"[MASK] seguía mirando empecinadamente el fuego. —Cuando pienso lo bien que lo pasaría sin ti, me vuelvo loco. No me dejas en paz nunca.",Juan,"go stared [MASK] time you, I have I “When could no at still without I nuts. I the morosely the peace.” get of swell never fire. think",John,"suratla dakika yüzünden. eğlenirdim. [MASK], aklımı Bir ""Başımda o asık bile Düşündükçe geliyor. rahatım ne bakıyordu. ateşe yok oynatacağım hep sen olmasan senin",Sultan,"có vẫn nghĩ có đầu tao một càu nếu đâu - như ! nào vướng thế yên vào nhàu, [MASK] Thật Tao lửa: thỏa nhìn điên nào bếp phút là thể được không khi tao mày. thuê là",Tao,"me el fuego. ti, seguía paz sin en pienso —Cuando empecinadamente vuelvo pasaría lo dejas No mirando lo que loco. bien nunca. [MASK] me",Dios
"[MASK] avoided the bait. He had sensed his advantage. “If you don’t want me, you only jus’ got to say so, and I’ll go off in those hills right there—right up in those hills and live by myself. An’ I won’t get no mice stole from me.”",John,"[MASK], yutmadı. Ağır bastığını hissetmişti. ""Eğer beni istemiyorsan, açık açık söyle, nah şu dağlara... Şu yukarıki dağlara çıkarım, tek başıma yaşarım. Parelerimi de kimse çalmaz benden.",Kara,"[MASK] không muốn chui vào tròng. Nó cảm thấy nó đang được lợi thế. - Anh mà chán tôi, anh cứ việc nói ra, tôi sẽ đi vào rừng, tít trên đỉnh đồi kia rồi tôi sống một mình. Và chẳng ai vứt chuột của tôi đi được nữa.",Không,"[MASK] eludió el cebo. Había intuido que tenía ventaja. —Si no quieres estar conmigo, no tienes más que decirlo y en seguida me marcho a las montañas, a esas de allá... Subo a las montañas y vivo solo. Y nadie me robará los ratones.",Juan,"go want jus’ those I’ll hills so, I get to hills stole mice myself. you [MASK] in from don’t you there—right only advantage. off me.” live the and up no by An’ right his and “If avoided bait. He in won’t sensed those me, got had say",He,"""Eğer şu istemiyorsan, açık de yutmadı. yukarıki başıma Parelerimi benden. açık kimse bastığını Şu yaşarım. söyle, dağlara... çıkarım, hissetmişti. nah Ağır [MASK], dağlara çalmaz tek beni",Ağır,"được cứ tôi trên muốn nữa. mà đỉnh ra, chui tít ai thế. rồi vứt sẽ mình. chán sống không tôi cảm lợi kia nói nó Anh đi [MASK] chẳng vào rừng, được đang thấy tôi đi Nó tôi, Và chuột vào anh của đồi - việc một tròng.",Anh,"ventaja. vivo a robará —Si marcho a ratones. las no seguida cebo. conmigo, estar Subo intuido tienes Había decirlo eludió me tenía [MASK] las me no de más nadie que y a el Y los solo. esas allá... que quieres en y montañas montañas,",Juan
[MASK] went on. “With us it ain’t like that. We got a future. We got somebody to talk to that gives a damn about us. We don’t have to sit in no bar room blowin’ in our jack jus’ because we got no place else to go. If them other guys gets in jail they can rot for all anybody gives a damn. But not us.”,Them,"[MASK] devam etti: ""Bize gelince iş değişir. Bizim umduğumuz var. Bizim konuşacak, bize ilgi gösterecek bir kimsemiz var. Gidecek başka yeri olmadığı için, bir meyhanede oturup bütün parasını harcayanlar gibi değiliz biz. Ötekiler kodese girecek olsalar, geberip gitseler de kimsenin umurunda olmaz. Ama biz öyle değiliz.",Biz,"[MASK] tiếp: - Riêng hai đứa mình thì lại khác. Tương lai mình đã vạch sẵn rồi, chúng ta có thể tâm sự than thở với nhau và giúp đỡ lẫn nhau. Việc gì phải ra quán ngồi phung phí hết số tiền kiếm được vì không còn chỗ nào để lui tới. Bọn họ mà không may thì có thể ở tù rục xương vì chẳng ai để ý tới. Mình thì khác.",Bố,"[MASK] prosiguió: —Con nosotros no pasa así. Tenemos un porvenir. Tenemos alguien con quien hablar, alguien que piensa en nosotros. No tenemos que sentarnos en un café malgastando el dinero sólo porque no hay otro lugar adonde ir. Si esos otros tipos caen en la cárcel, pueden pudrirse allí porque a nadie le importa. Pero nosotros, no.",Nosotros,to gives We jack damn got anybody “With that. else sit us.” no it that we blowin’ went a them about room not to damn. We all got ain’t they no don’t us to on. guys got talk can our a future. But If gives place jus’ for a go. to jail bar in We rot like us. somebody in in because gets have other [MASK],Jack,"konuşacak, Ötekiler kimsemiz parasını bize umurunda olmaz. de gelince Bizim harcayanlar yeri değiliz. değiliz Bizim gitseler etti: iş biz. devam öyle kimsenin Gidecek değişir. Ama meyhanede gibi bir var. ""Bize başka oturup biz kodese bütün ilgi geberip umduğumuz [MASK] için, olmadığı olsalar, var. girecek gösterecek bir",Kimsemiz,"tiền lai ở ra phung chẳng tới. ai lui nhau rục may có phí Bọn khác. thì - sẵn để ngồi họ và vì còn thì phải nào lẫn Riêng sự thở tiếp: mình chúng khác. rồi, than ý mà thì đứa giúp tâm có với được để thể đỡ vạch nhau. vì Mình hai tới. ta [MASK] quán hết kiếm Tương không gì Việc chỗ xương số không lại tù mình thể đã",Mình,"la café no hay tipos pudrirse alguien quien nosotros, Pero porque malgastando un que —Con [MASK] nosotros. pueden caen así. Si hablar, dinero no otro adonde Tenemos No el alguien porvenir. con le no. nadie porque que tenemos un nosotros a sólo ir. pasa Tenemos allí esos importa. en otros sentarnos piensa cárcel, en lugar en prosiguió:",Don
"“’Course you did. Well, look. [MASK]—if you jus’ happen to get in trouble like you always done before, I want you to come right here an’ hide in the brush.”",Uncle,"""Tabii. Peki öyleyse, dinle, [MASK]... Geçen seferki gibi başını yine belaya sokacak olursan, hemen koşup buraya gelir, çalıların arasında saklanırsın.",Kemal,"- Tốt lắm! Nghe tao hao nữa đây! [MASK]... nếu chẳng may mày có gây chuyện lôi thôi như lần trước, mày lập tức tìm chỗ này và nấp vào trong bụi rậm.",Ngọc,"—Claro que sí. Bueno, oye, [MASK]... Si llegas a verte en aprietos, como siempre te ocurre, quiero que vengas a este lugar y te escondas en el matorral.",Juan,"here Well, in [MASK]—if want right did. in you brush.” like I before, jus’ get you to an’ the you come trouble “’Course look. you always to done hide happen",you,"Peki arasında başını buraya gibi gelir, hemen [MASK]... dinle, ""Tabii. belaya çalıların olursan, seferki koşup Geçen saklanırsın. yine öyleyse, sokacak",Kral,"tao lắm! chỗ bụi tức thôi Tốt rậm. mày trước, nếu may [MASK]... chẳng nấp lôi nữa như vào gây lập tìm mày lần có chuyện và đây! hao này Nghe - trong",Tố,"que siempre quiero a escondas y Bueno, el matorral. este te llegas —Claro [MASK]... que como verte ocurre, Si sí. lugar en aprietos, en oye, vengas a te",Claro
[MASK] stepped over and threw his blankets down on the burlap sack of straw that was a mattress. He looked into his box shelf and then picked a small yellow can from it. “Say. What the hell’s this?”,John,"[MASK] yaklaştı ve şilte vazifesini gören saman çuvalının üstüne battaniyesini attı. Raflık sandığına baktı ve içinden sarı bir teneke kutu aldı: ""Hey, bu da nesi?",Ali,"[MASK] bước lại gần và ném bó chăn lên chiếc nệm rơm. Nó nhìn cái hòm và với lấy một cái hộp sắt màu vàng. - Này cụ, gì đây hả trời?",Ngọc,[MASK] se acercó a un camastro y arrojó sus mantas en el saco de arpillera lleno de paja que formaba el colchón. Miró el cajón de sus estantes y sacó de dentro una latita amarilla. —¡Eh! ¿Qué diablos es esto?,Juan,yellow his his a on a mattress. burlap threw sack box and into stepped and over straw “Say. then hell’s blankets shelf He it. that looked this?” from can What [MASK] of picked the down small was the,John,"çuvalının ve bu üstüne sarı da bir attı. aldı: ""Hey, battaniyesini Raflık içinden teneke nesi? ve yaklaştı vazifesini sandığına [MASK] gören saman baktı kutu şilte",Raflık,"cái [MASK] Nó với vàng. một sắt và màu hộp lên đây trời? chăn Này ném bước lại rơm. gần hả cái - gì cụ, hòm nhìn chiếc nệm và lấy bó",Nó,y lleno cajón de diablos en latita esto? sus mantas el de formaba sus saco que ¿Qué acercó arrojó arpillera Miró de se sacó amarilla. camastro a [MASK] y de el —¡Eh! estantes colchón. un paja una es el dentro,Juan
"[MASK] was just finishing making his bed. The wooden latch raised again and the door opened. A little stocky man stood in the open doorway. He wore blue jean trousers, a flannel shirt, a black, unbuttoned vest and a black coat. His thumbs were stuck in his belt, on each side of a square steel buckle. On his head was a soiled brown Stetson hat, and he wore high–heeled boots and spurs to prove he was not a laboring man.",Theodore Roosevelt,"Yatağını yapan [MASK], işini bitirmek üzereyken, tahta mandal kalktı. Eşikte kısa boylu, tıknaz bir adam duruyordu. Ayağında mavi bezden bir pantalon, sırtında bir fanila gömlek, düğmeleri iliklenmemiş siyah bir yelek ve siyah bir ceket vardı. Baş parmaklarını, dörtköşe çelik bir tokanın iki yanından kemerine geçirmişti. Başında kahverengi eski bir şapka vardı, yüksek ökçeli çizmelerinde mahmuzlar takılıydı, bir gündelikçi olmadığı bundan belliydi.",Yatağını yapan,"[MASK] vừa làm xong giường. Cái then gỗ lại được nhấc lên và cửa mở ra. Một người thấp, mập hiện ra trên ngưỡng cửa. Ông ta vận một chiếc quần vải thô xanh, một áo sơ mi hàng nỉ, một chiếc gilê đen không cài khuy và áo choàng đen. Ông ta thọc hai ngón tay cái vào thắt lưng ở hai bên cái khóa vuông bằng thép. Đầu đội mũ nỉ nâu cũ, chân đi đôi giày ống gót cao đóng đinh, dấu hiệu phân biệt với đám người làm công.",Người ta,"[MASK] estaba terminando de hacer su cama. El cerrojo de madera se alzó otra vez y la puerta se abrió. Un hombrecillo recio apareció por la puerta. Vestía pantalones azules de grueso algodón, camisa de franela, chaleco negro desabrochado y abrigo también negro. Tenía los pulgares metidos bajo el cinturón, uno a cada lado de una cuadrada hebilla de acero. En la cabeza llevaba un sucio Stetson pardo, y calzaba botas de tacón alto con espuelas para demostrar que no era un mero trabajador.",Hombrecillo,"little unbuttoned coat. soiled a prove His to high–heeled open and stuck and wore spurs and flannel jean he man. in were On square doorway. [MASK] his a side boots He and wooden just a black, The he stocky man wore blue trousers, the door a making shirt, each belt, hat, was A on stood in laboring latch was was a his the finishing buckle. black vest his Stetson head thumbs bed. raised steel of a not brown again opened.",Unknown,"üzereyken, düğmeleri Ayağında parmaklarını, gündelikçi kalktı. yanından eski çizmelerinde pantalon, bezden [MASK], ceket yelek takılıydı, iki bitirmek bir şapka Başında bir boylu, dörtköşe mavi çelik kahverengi mahmuzlar ökçeli vardı, sırtında adam iliklenmemiş siyah yapan tıknaz fanila tahta ve geçirmişti. kemerine bir siyah bir vardı. bundan Baş kısa işini bir olmadığı yüksek gömlek, Eşikte bir mandal bir belliydi. duruyordu. Yatağını tokanın bir",Kemal,"cửa. lên cũ, gilê một then vận dấu gỗ biệt ta chân người phân thắt không ta lưng nhấc xong và vải ở đinh, gót [MASK] ngưỡng đội hiệu cái áo một lại làm quần tay thép. xanh, làm ngón giày vào một đen công. cài người với khuy chiếc choàng đi Cái ống được giường. khóa mở bằng nâu vừa và thấp, Ông mũ mi ra. hiện đen. trên cửa Một hàng đôi áo Ông Đầu hai chiếc nỉ, cao vuông hai thọc đám mập bên đóng sơ thô cái nỉ ra",Cái ống,"Tenía uno llevaba de un chaleco Vestía abrió. cerrojo alto hombrecillo vez pardo, se y estaba demostrar negro. el mero botas su una Stetson abrigo tacón madera por de cabeza azules grueso hebilla no y trabajador. con metidos y de la se camisa El calzaba [MASK] lado alzó a apareció la sucio bajo de Un cada pantalones un que algodón, En era recio terminando franela, desabrochado pulgares puerta acero. también negro hacer para otra puerta. los cinturón, de espuelas la de cuadrada de cama.",hombre
"[MASK] looked down at his feet. “Bus driver give us a bum steer,” he said. “We hadda walk ten miles. Says we was here when we wasn’t. We couldn’t get no rides in the morning.”",Unknown,"[MASK] başını eğdi: ""Otobüs şoförü bize oyun etti,"" dedi. ""Tam on mil yol yürümek zorunda kaldık. Daha çok uzaktayken, geldik dedi bize. Bu sabah bizi getirecek bir araç bulamadık.",Şoför,"[MASK] nhìn xuống chân: - Lão tài xế xe buýt nó lừa chúng tôi, thành ra chúng tôi phải đi bộ tới mười dặm đường. Nó nói là đã tới nơi rồi mà thật ra thì còn xa. Chúng tôi không gặp ai để quá giang tới đây cho kịp sáng nay cả.",Lão tài,"[MASK] se miró los pies. —El conductor del autobús nos jugó una mala pasada —explicó—. Tuvimos que caminar diez millas. Dijo que ya estábamos junto al racho, y no era así. No pudimos encontrar quien nos trajera esta mañana.",Conductor del autobús,"he Says here “We steer,” “Bus bum miles. ten give we rides down no wasn’t. morning.” [MASK] the when driver We feet. we get at his said. in was a hadda couldn’t looked us walk",Driver,"eğdi: kaldık. başını bizi bize ""Tam geldik bir dedi. on sabah zorunda araç çok ""Otobüs getirecek uzaktayken, yürümek mil oyun yol şoförü etti,"" bulamadık. [MASK] Bu Daha bize. dedi",Şoför,"giang - cả. đây nó xe Nó lừa thì tới để buýt còn xa. nơi nhìn [MASK] cho đi ra tới là nay Lão quá thật không xuống rồi tới mười kịp phải chúng đường. xế tôi ai chúng dặm nói mà đã Chúng thành gặp chân: sáng ra tôi, tài tôi bộ",giang,"los caminar trajera quien nos que No junto esta —explicó—. mala así. racho, jugó conductor pies. que miró pudimos se [MASK] Dijo una millas. ya —El nos diez y no mañana. pasada al autobús estábamos encontrar Tuvimos del era",Juan
"[MASK] broke in loudly, “Oh! I ain’t saying he’s bright. He ain’t. But I say he’s a God damn good worker. He can put up a four hundred pound bale.”",Joe,"[MASK], sesini yükseltti: ""Zekidir, demedim. Hiç de değildir. Ama işe gelince üstüne yoktur. İkiyüz kilo yük vur sırtına, bana mısın demez.",Kemal,"[MASK] nói lớn: - Dạ thưa, nó không sáng dạ đâu. Nhưng làm thì nó khỏe lắm. Nó có thể nhấc hai tạ hàng.",Ngọc,[MASK] interrumpió con voz muy alta. —¡Oh! No digo que sea inteligente. No lo es. Pero digo que para trabajar no hay quien le gane. Es capaz de cargar un fardo de doscientos kilos.,Juan,"damn four a saying put hundred I broke in bright. But “Oh! pound he’s God can good a [MASK] worker. loudly, He bale.” say ain’t. he’s I up ain’t He",God,"yük üstüne demez. mısın işe gelince sırtına, Hiç [MASK], sesini kilo değildir. de vur bana yoktur. ""Zekidir, demedim. İkiyüz Ama yükseltti:","Hiç [MASK], sesini kilo değildir. de vur bana yoktur. ""Zekidir, demedim. İkiyüz Ama yükseltti:","khỏe dạ Dạ Nó nhấc hai không tạ làm [MASK] lắm. nói nó sáng lớn: thì thể - hàng. thưa, Nhưng có đâu. nó",Dạ Nó,alta. cargar [MASK] digo fardo muy voz lo digo No es. que para un quien le capaz Pero kilos. Es que de trabajar gane. no inteligente. con doscientos sea interrumpió —¡Oh! No de hay,Alta
"“Never mind, never mind. I’ll tell you when. I hate that kind of a guy. Look, [MASK], if you get in any kind of trouble, you remember what I told you to do?”",Uncle,"""Bir şey değil, bir şey değil. Vakti gelince haber veririm. Bu çeşit heriflere hiç sabrım yoktur. Dinle beni [MASK], başına bir iş gelecek olursa, ne yapacaktın, hatırlıyorsun değil mi?",Kardeş,"- Mày khỏi lo. Tới đấy rồi tao bảo. Cái ngữ nó tao thương không nổi. [MASK], nếu có chuyện gì xảy ra, mày nhớ tao dặn phải làm gì rồi chớ?",Tải,"—Nada. No te preocupes. Ya te lo diré. Me dan rabia los tipos como ése. Escucha, [MASK]: si te metes en un lío, ¿recuerdas lo que te dije que hicieras?",Juan,"get mind. you if what guy. hate when. you kind remember [MASK], tell a you I in do?” trouble, I’ll of never of mind, any kind to I “Never Look, you told that",John,"hiç şey ""Bir yoktur. değil. gelecek veririm. bir [MASK], ne başına değil heriflere hatırlıyorsun mi? değil, Vakti sabrım haber yapacaktın, beni çeşit olursa, gelince Dinle bir iş şey Bu",Tanrı,"khỏi đấy gì xảy tao lo. Mày mày rồi phải nhớ nó có rồi [MASK], nếu - làm chuyện ra, gì tao Tới thương bảo. ngữ không tao nổi. chớ? dặn Cái",Tới,"te los lo si hicieras? lío, en Escucha, Me tipos ése. te No que que Ya metes ¿recuerdas dije lo [MASK]: rabia —Nada. preocupes. un diré. te te como dan",Me
"From the washroom nearby came the sound of running water and rattling basins. [MASK] studied the cards. “Maybe we oughtta wash up,” he said. “But we ain’t done nothing to get dirty.”",The narrator,"Yandaki çeşmede akar suyun ve kımıldatılan kovaların sesi duyuluyordu. [MASK], kağıtlarını gözden geçiriyordu. ""Gidip yüzümüzü yıkasaydık. Ama kirlenmek için de bir şey yapmadık ki.",Yusuf,"Trong phòng tắm bên cạnh, người ta nghe thấy tiếng nước chảy và tiếng thau loảng xoảng. [MASK] vẫn chăm chú tính bài. Nó nói: - Lẽ ra thì mình cũng nên đi tắm cái đã. Nhưng mình có làm gì bẩn đâu mà tắm.",Người ta,Del lavadero cercano llegaba el ruido de agua y de recipientes en movimiento. [MASK] estudió sus cartas. —Tal vez tendríamos que lavarnos –dijo—. Pero no hemos hecho nada que ensucie.,Juan,"“Maybe we nearby said. nothing “But [MASK] we water to wash came the rattling and cards. the washroom From oughtta basins. sound of running up,” ain’t get studied he dirty.” the done",John,"akar şey yüzümüzü bir Ama kımıldatılan yıkasaydık. çeşmede ve ""Gidip kirlenmek ki. suyun de yapmadık sesi gözden duyuluyordu. geçiriyordu. için [MASK], kağıtlarını kovaların Yandaki",Çeşme,"tắm. Lẽ bẩn và phòng Nhưng - thì mình cạnh, gì nghe vẫn chăm ta đâu người thấy bên Trong tiếng làm đã. [MASK] mình chảy cũng cái nói: ra tắm tiếng loảng tắm bài. mà nước đi xoảng. có nên chú tính Nó thau",Nhưng,hemos de y ruido recipientes que –dijo—. Pero no el movimiento. tendríamos [MASK] que —Tal cartas. en estudió ensucie. agua Del nada lavarnos vez lavadero de hecho sus llegaba cercano,Juan
