en,Single_ent,en_shuffled
"I was lightly haunted—at the level of a chronic but manageable digestive complaint—by the memory of those “vital” files in the bin, seals unbroken. But Adela didn’t issue any new orders. The bridges kept turning in their core reports, and the experiments kept running. Given how much of our working day the data collection took, we all assumed that the time-travel project was running to the stated purpose. Every day I had to record his heart rate, his blood pressure, his temperature; every day a written record of what he wore, what he ate, how much exercise he took; every week checking progress against the imaginary benchmarks set by Control, use of phone, use of transport, use of media and the assessment of how harmful or useful each medium was; all the time the corrective tests for vocabulary and habit; novelistic observations on his character and temperament. It seemed that the job continued. I suppose if you switch on your lights and boil your kettle with energy provided by a nuclear power station, you don’t spend much time reflecting on the fact that the atom had originally been split to kill cities.",['adela'],"observations set I didn’t the week a the those nuclear exercise use of experiments of switch took, and kept issue how how record running. temperature; imaginary he on new to much seemed use wore, bin, kept the had his assumed we every he continued. assessment phone, of level medium suppose collection your vocabulary was; complaint—by stated memory working had record a his Given his orders. what he energy was the lights that on with fact Control, the your the digestive The habit; for in ate, character heart split “vital” provided what Every each of spend by chronic of turning in cities. kill of that day blood haunted—at day project files progress and job running data but took; I been lightly station, the on transport, I originally manageable checking the rate, his boil the all time or media written benchmarks that the time you bridges core much reflecting and harmful useful if time-travel tests of seals kettle use Adela novelistic of pressure, you any But every the much reports, the against how purpose. our and to was a It by unbroken. day atom to corrective the and temperament. the power all don’t their"
"Graham hadn’t exhibited any behavior more eccentric than usual, but as he was a difficult man to read, I didn’t know whether I was witnessing a series of neurological events. He’d lain motionless in the garden for two hours, on a wet and putrid night, to shoot a fox, and pulled out one of his own rotting teeth (he showed it to me afterward; it was the color of a tombstone, caped with gelatinous red)—was this Victorian, or was this “irregularities”?",['graham'],"rotting usual, in the a two color red)—was a one pulled this or read, know man difficult for hadn’t garden wet a more night, tombstone, “irregularities”? to events. a to showed was didn’t any he teeth it whether shoot was gelatinous lain He’d as exhibited but on was of was Victorian, Graham and hours, out behavior of (he it a and I series the eccentric than with to caped afterward; his I of me motionless fox, this neurological putrid own witnessing"
"So I was anxious about Graham’s disdain for the twenty-first century, because never mind that I felt rejected by it, I was worried that the universe would feel the atemporal sting of his contempt and take him away. My England wasn’t like this, he’d told me—but this was the natural evolution of his England. I was the natural evolution. I was his lens if he would only raise me and look with me.",['graham'],"twenty-first look me he’d was was rejected he the because I So evolution. take was away. was anxious universe the the told of that this, this that would I only like disdain evolution I him raise contempt century, his the it, never his lens me—but England feel worried natural sting the for by wasn’t about me. mind My would and with I felt and England. Graham’s of was I atemporal his natural if"
"I persuaded Graham to use the tiny office, in which I ordinarily worked, to cram for the test. The Ministry gave no indication of what format the test would take, or what manner of questions would be asked, or tasks set. I thought this was unfair, and suggested as much to him.",['graham'],"thought tiny I unfair, in as to what Graham test be office, format would ordinarily him. the the of tasks would to to gave The this or suggested indication no what and of much or use Ministry test. I the set. worked, persuaded take, I for asked, cram manner which was questions"
"There was an embarrassed silence, then: “Shame!” yelled Margaret from the audience. “Fie! Rhubarb, rhubarb! And diverse other curses!”",['margaret'],"“Shame!” embarrassed audience. “Fie! rhubarb! an from then: silence, Rhubarb, There curses!” yelled And the diverse other Margaret was"
"The person I was referring to was lurking at the far edge of the auditorium, with hair the color of wet earth under moonlight and a pinched, unhappy expression. I don’t think Salese could have looked more disapproving if we’d all started sucking at one another’s fleshly parts and chanting “Hail, Satan!” The Brigadier was standing beside Salese. They were speaking, heads close together. They looked as if they were in an invisible bell jar of gloom which blocked out the room’s miniature festivities.",['salese'],"the person I at of miniature edge all looked the The of started festivities. an standing was far room’s of disapproving Brigadier I as unhappy speaking, They to have bell sucking chanting earth which moonlight was invisible pinched, beside more jar close was together. the don’t blocked Salese. expression. hair we’d and could referring with lurking looked under one They in parts a the Salese auditorium, color “Hail, The Satan!” at fleshly heads another’s and gloom if were if were wet think they out"
"“I’m afraid I’ve only ever met the Secretary,” said the Brigadier. “But I would very much like to meet Vice Secretary Adela.”",['adela'],"Vice “I’m Secretary,” much met said ever afraid Brigadier. the very would like only the I’ve meet “But I Adela.” Secretary to"
"I went home and, on arrival, checked my emails. As with a driving test—or the lieutenants’ exam—the acclimatization exam results were delivered immediately. Graham had passed.",['graham'],"arrival, home the delivered driving I with exam test—or emails. exam—the lieutenants’ a were results As passed. immediately. Graham went on my checked acclimatization and, had"
"I cycled up to the nice grocery store to buy a bottle of champagne, pausing on the way home for a soft-serve ice cream. I sat on the bench to lick the ripple into a mound and think about the Brigadier. A man of bivouac experience, I felt; there was something disturbingly makeshift about both him and Salese, as if they’d been dropped behind enemy lines and were mimicking familiarity while waiting for the right moment to cut a throat.",['salese'],"I grocery throat. I the while champagne, cycled familiarity there sat the to both lines ice and the right been soft-serve if cream. cut of nice the A buy was I up man bench the the a something were a waiting as experience, home moment pausing felt; they’d behind makeshift for to Brigadier. to disturbingly for enemy and store Salese, on think on way him into of and a lick a mimicking ripple mound dropped bivouac to about about bottle"
"“Apparently I can pass as an eccentric. I suggested that somewhere like Scotland, Arthur and I might simply pass as Englishmen. One of the panel was a Scotsman, and I think he liked that.”",['arthur'],"like Englishmen. “Apparently and liked as Scotsman, and eccentric. of One I simply Scotland, pass think I the that.” Arthur somewhere pass suggested that can panel I might a an he as was I"
"When I brought the glass up—stoppering the rest of the bottle for dinner—I could hear Graham singing “I love to steal awhile away,” occasionally muffled by his drags on a cigarette. Water plashed against the tub. He dropped to humming and presumably soaping. I slid quietly to the floor and leaned my head against the wall. I wasn’t going to see a Ministry therapist. I knew I should, and I knew I wouldn’t.",['graham'],"He to should, I against the knew I the against a and the hear the I I Graham awhile slid the could to dinner—I steal rest wouldn’t. and quietly tub. of glass his head Ministry “I humming brought by away,” going and my I wasn’t dropped wall. to on I bottle presumably love floor muffled see plashed soaping. therapist. a When up—stoppering cigarette. the Water occasionally to knew for leaned I singing drags"
"With the exception of naval rations meted out during Discovery Service expeditions, cooked over campfires and valued for their fuel rather their flavor, Graham had never so much as heated a bowl of soup before arriving in the twenty-first century. On ships there were cooks and officers’ stewards; at home, on the few occasions he was at home, there were women. Nevertheless, he had taken to cooking in a way he had failed to take to television or texting or the use of deodorants (“I bathe every day,” he’d said to me with hurt dignity). Tonight, he hummed with a busyness that hardly shielded nervousness. He burned the onions and automatically reached for his cigarettes. I took them away—I didn’t want ashy Bolognese—and he accused me of “nanny-stating” him, a turn of phrase I found very alarming because I certainly hadn’t taught it to him. Where was he picking this stuff up?",['graham'],"very this so cooks onions their stuff valued Discovery ships to them Where On flavor, he home, way fuel campfires expeditions, there naval of and up? the automatically stewards; burned “nanny-stating” in ashy failed hummed turn a picking I a on he cigarettes. a take bowl taught found out had a and was were meted had their Nevertheless, to soup With occasions he or for had as there away—I phrase Tonight, nervousness. every busyness Graham hardly over the he to that him. dignity). with of at Service the because the to said Bolognese—and he the of heated cooked taken home, and of texting hadn’t at I hurt deodorants never twenty-first didn’t in he much He it with me of before women. was he’d during century. rather took were to him, or exception I officers’ me accused few bathe want use for shielded arriving television his day,” rations cooking reached certainly (“I alarming"
"Margaret was wearing high-waisted cerulean bell-bottoms and a white blouse clocked with lace. She looked like a disco goddess, an astonishing concoction given that she was only barely older than the piano, never mind the synth.",['margaret'],"and than goddess, disco older concoction given never a was clocked piano, only blouse the barely cerulean Margaret white high-waisted she bell-bottoms an looked with She was lace. like that synth. mind a the astonishing wearing"
"Arthur was happy and flushed. He was one of those unusual extroverts who have all the attributes of an introvert, save that they like being around other people. He had a gift for gentleness too, one of the rarest virtues in any gender and especially in the kind of man Arthur was supposed to be. I eased some biography out of him: half-decent public school; classics at Oxford, where he’d had a lot of fun and failed his exams; retraining as a doctor.",['arthur'],"in an some was that had man one for around virtues a all I his as like school; He half-decent lot of a people. Arthur had public kind happy He at of Oxford, be. of fun the unusual exams; any a introvert, failed extroverts eased to of flushed. other him: gender retraining those of who gift one rarest gentleness was the the and attributes classics he’d was doctor. of especially being have save too, supposed and biography out in they where and Arthur"
"I saw Graham’s eyebrow quirk in a rascally way as he did the math. “You became a captain extremely quickly, Sixteen. Found your forte?”",['graham'],"did a I the captain became eyebrow saw in as quickly, forte?” your way rascally quirk Sixteen. he a extremely Found math. “You Graham’s"
"Arthur grimaced. I saw his hand shiver momentarily on his glass, and then he swallowed everything in it with a wet click. “Promotion was—fast—in the war,” he said shortly.",['arthur'],"war,” glass, said grimaced. was—fast—in on shiver swallowed in wet a then hand everything Arthur it shortly. the with he his and his I click. saw “Promotion he momentarily"
"Margaret, incidentally, listened to the men talk about their careers with a suffused urgency that only I noticed. In her own era, she’d slept in the room next to the one where she had been born. She thought Scotland was far-flung and semi-barbaric. When we came round to talking about my time working as a translator in Cambodia, I felt her attention all over me. I may have talked slightly too much.",['margaret'],"round over born. own I as Cambodia, may have a her attention slept in noticed. era, to about semi-barbaric. with their the her a thought where and suffused been in that incidentally, we Scotland time When translator she room I talk all the had she’d listened too was came to talked I only far-flung careers to me. Margaret, much. next felt my about talking slightly working urgency the men one In She"
"How the topic of weed came up I couldn’t remember—probably during one of the vigorous debates about what the twenty-first century had genuinely improved, which in the opinion of the expats was a mixed bag. I was shortly handing my grinder and papers to Graham (who was far more adept at rolling).",['graham'],"far of I handing opinion came was about the twenty-first shortly topic century bag. rolling). grinder which one my improved, and (who the mixed genuinely more the remember—probably up had vigorous what I Graham expats papers during a the couldn’t weed adept was in debates How of at of the was to"
"Meeting Margaret made me vivid and receptive. Sentences weighed more. I kept a half-conscious catalog of where the men were looking. I’ve seen people deal with this in different ways. By “this,” I mean power. I mean magnetism. I try to absorb it. Within twenty minutes Margaret and I were planning a girls-take-Soho night out, which necessitated me explaining the history of Soho, the concept of clubbing, the genre of R & B, the club night R & She, and dancing. I hadn’t been clubbing since I was an assistant in Languages. No matter.",['margaret'],"clubbing, minutes assistant kept I the the I me catalog since night the of made Within Soho, with me was vivid Sentences “this,” been in I looking. I the girls-take-Soho in R twenty were B, mean mean and R dancing. a history different clubbing it. By receptive. matter. I’ve people of concept deal Meeting where Languages. weighed power. were and hadn’t Margaret an out, seen the of & try club No She, ways. magnetism. planning necessitated absorb men I of I half-conscious Margaret genre & I explaining more. which a night and to this"
"“Such matters are between myself and God,” he said gravely. “Oh, stop frowning, Sixty-five. Arthur, will you please lead her in a polka, if you can still stand.”",['arthur'],"will Arthur, and can stand.” God,” you still “Such myself are Sixty-five. stop please “Oh, polka, between frowning, a lead her in matters you if said he gravely."
"“In this age, musicians are imprinted inside music boxes, and there is no need for the band to keep time,” said Margaret. “You will instruct me in the polka, or I will step on your toes.”",['margaret'],"Margaret. boxes, music age, keep time,” for band no are musicians on said there your need “You this I “In will me polka, instruct and the imprinted or inside step to in the toes.” is will"
"Arthur, by contrast, danced beautifully. He dipped me, and I bent like a reed. He spun me, and I was, with such satisfaction, spun.",['arthur'],"contrast, spun dipped satisfaction, me, spun. and a with like and Arthur, me, by bent beautifully. such reed. was, I I He danced He"
"As soon as she stepped in, I started making a tally of the evidence of unbeauty. There was a chair whose seat was filled with clothes too dirty for the wardrobe but too clean for the washing basket. My bedside table sprouted two water glasses and a mug. Dust crouched on the skirting boards and in the seams of my chest of drawers. When a woman is as impossibly attractive as Margaret, the mediocrity shed by a woman like me bustles around her like a horde of pigeons. Or so I thought, at that time. Truthfully, I’d been foxed by how beautiful she was. I felt a complicated anguish when I saw her little besocked toes treadling the carpet.",['margaret'],"a too complicated was was Margaret, for tally felt skirting the Or mug. a evidence attractive seams anguish Truthfully, table and seat dirty so of as on little chest of and by of crouched with pigeons. her My mediocrity I’d like unbeauty. a drawers. As thought, that the washing the in, time. water sprouted she bustles me woman of I toes a like stepped a Dust her impossibly shed glasses but basket. a woman clothes when whose how of foxed chair as is too I horde by filled a for There the boards been making in the I wardrobe the When beautiful was. bedside soon she carpet. besocked the treadling as at I saw two around clean my started"
Margaret appeared unaware of any of these concerns. She didn’t even glance at herself in the mirror. She gave me an interested grin as I pulled out my lipsticks.,['margaret'],She me out unaware any gave concerns. didn’t Margaret grin mirror. of interested appeared my glance an even I at these of in herself as She pulled the lipsticks.
"I’d stopped wearing it—I was, at the time, thinking of the way my face might be received by a Victorian who didn’t approve of cosmetics—but I demonstrated the coverage of my sole foundation. Margaret was amazed by the smoothness of its application and the faithfulness of its shade. She drew an arrow with it on her cheek. On her fair skin, it looked like clay. We started giggling.",['margaret'],"drew its Margaret way might started its Victorian received was, approve at an shade. was sole of her the time, I skin, be the demonstrated cosmetics—but it and the giggling. She amazed with faithfulness smoothness face of fair coverage my foundation. On of I’d like by who it looked of it—I by the wearing arrow cheek. my didn’t We a her the stopped of thinking on clay. application"
"The door grumbled shut and I fell back into a doze. Margaret was snoring lightly, like a puppy being squeezed. The door reopened, and I surfaced to vague consciousness. I felt a wave of cool air, and then a gentle warmth. He had spread a blanket over the pair of us.",['margaret'],"I vague and of wave of then and spread pair back a being shut fell gentle squeezed. I felt lightly, The to warmth. into a grumbled us. and doze. puppy air, the blanket a over cool had surfaced like The snoring He door reopened, a I a Margaret consciousness. was door"
"All the expats had phones, paid for (and tapped) by the Ministry. Graham had switched his own phone on a total of three times in the seven months he had been in the twenty-first century. I was therefore unsurprised when, about half an hour after their plane landed, I got a call from Arthur’s phone.",['graham'],"the months Graham when, own after total plane century. the hour their had an been expats he paid phone. (and phone a about All three by a the in therefore half I had twenty-first I in seven was his of phones, got times from for had call Ministry. switched the tapped) Arthur’s landed, on unsurprised"
"Arthur was striding up the street, bent slightly against a wind which didn’t exist. He was wearing a tweed jacket and looked like a period piece, but then again, so did Pimlico. I hadn’t seen him since the men had got back from Scotland and I asked him whether he enjoyed his trip.",['arthur'],"striding him but the piece, the wearing against back did since up slightly asked whether looked got tweed enjoyed he men hadn’t wind him again, like so Scotland and had seen exist. then and his was street, a He was period Pimlico. I trip. jacket bent didn’t a from which Arthur I a"
"It paid off in the early autumn. When I came down for breakfast one morning, I found Graham at the counter with a dictionary and a tin of protein powder, performing exegesis on the label.",['graham'],"counter of paid exegesis performing for When protein Graham label. I dictionary autumn. the It off powder, on early one down the tin in the morning, a and came found I at a breakfast with"
"Adela was of the “never been to the GP in my life because I’m not a pussy” school of care, and nothing changed. If the expats were dangerously ill, they’d be removed to the wards and never mind the trigger; if they could get a grip and deal with it at home, they should.",['adela'],"to If the ill, was pussy” the the “never home, I’m in should. they the mind get nothing wards Adela and to of grip care, with my at a never life they’d if of dangerously they expats been GP trigger; were it school deal the and could and a because be removed changed. not"
"For a day or so, things were, once again, misflavored and uncomfortable between us. Graham’s relationship to sexuality was a mystery. I had no idea if he’d ever had a sex life, or if he wanted one. The most his Ministry psychoanalyst had been able to get out of him on the comparative boisterousness and acquisitiveness of twenty-first-century sex was that he found it terribly eighteenth. I had a copy of his medical records from his extraction, and he hadn’t tested positive for, or been treated for, any STIs. Given the prevalence of prostitution in Victorian England, the nonexistence of reliable barrier contraception in his era, and the fact that he was a sailor, this suggested he was either a virgin or very lucky. But then again, I knew enough about his biography to know that he was very, very lucky.",['graham'],"twenty-first-century enough was copy Ministry again, ever then and a But his had the records get and medical lucky. uncomfortable the virgin was wanted sexuality and psychoanalyst the prevalence comparative The terribly of to biography for, of a he to very his misflavored in if had I was knew Victorian idea it had been he that was life, were, sex positive that about most any between England, him a sex once he STIs. very out relationship Given things I prostitution day barrier treated Graham’s he mystery. of so, or extraction, this been a on able I or eighteenth. in from us. his he had nonexistence era, lucky. his of if or suggested and was he the reliable a either boisterousness again, one. sailor, hadn’t fact or a no tested found for, know contraception of acquisitiveness For to his very, that he’d"
"I smiled. It was so hard not to treat the expats like blank slates onto which I might write my opinions. I understood the adage “knowledge is power” whenever I looked into Margaret’s face, the sultry peach color of her mouth and her acne glowing with unprinted newness. There was something hauntingly young about all of them, a scarcity of cultural context that felt teenaged, and I didn’t know if my fascination with it was maternal or predatory. Every time I gave Graham a book, I was trying to shunt him along a story I’d been telling myself all my life.",['graham'],"if gave story telling sultry the context treat looked was I was scarcity book, shunt understood which expats face, felt adage trying I something I or was a There fascination I with it It time and peach mouth color the hauntingly Graham so the all and is I life. smiled. cultural newness. of blank opinions. whenever to them, my of know might my her predatory. Every to was about myself a of slates power” maternal not didn’t into glowing teenaged, I’d my hard young been write her all that with like unprinted I “knowledge acne along him Margaret’s I a onto"
Graham was adamant about not informing the Ministry about his illness. It was the closest I had ever seen him to entreating. I thought about it a lot. I liked being entreated by him.,['graham'],about I entreated seen to illness. I adamant It about closest him. thought had Graham ever not lot. by liked the was being about it Ministry entreating. a the his I was him informing
"You’re angry, maybe, that I could have been this callow. You think you would have seized the lever here, swung the tram over the empty track instead of toward the row of bound prisoners. You ask me why I wasn’t more suspicious. But naturally I was suspicious. Adela was shifting, elusive—her very face was inconsistent. Her reasons were bad, half-veiled. Then again, whose upper management am I not describing? Who trusts their workplace? Who thinks their job is on the side of right? They fed us all poison from a bottle marked “prestige,” and we developed a high tolerance for bitterness. I would have been more frightened if the pressure lifted, like an indoor cat struck by sudden rain.",['adela'],"was Who rain. trusts their You’re seized suspicious. thinks more could been is the you row we shifting, instead bitterness. think struck side I again, not all management “prestige,” a indoor poison face Her bottle if the was describing? wasn’t frightened bad, would very by swung would of I the more lifted, marked workplace? inconsistent. suspicious. have on that ask prisoners. right? job have for us half-veiled. was pressure from toward developed a You their of here, me tolerance were sudden been maybe, Who Adela lever naturally reasons the tram But the upper this angry, bound and an I cat over the They fed have You Then I callow. empty track elusive—her whose why high of I am like"
"I gave Graham history’s squeakiest bollocking. He hardly paid it attention. He wanted to know how it was possible for the Ministry to know that he had crossed the boundary, or indeed where he was, and I was tongue-tied.",['graham'],"he he had He boundary, tongue-tied. wanted for He where how know gave bollocking. the or crossed attention. and to to I was, Ministry was it paid I Graham know the history’s it possible squeakiest was that hardly indeed"
"One evening in early November I came home to the luscious mingled smells of cooking and smoking. Graham was sitting at the dining table with a cigarette between his lips, tapping at a laptop. He no longer needed several minutes to find the letter “M,” but he typed with his index fingers alone, pecking out sentences.",['graham'],"cigarette but at minutes fingers tapping “M,” came index evening the sentences. he with the longer a was no mingled laptop. smoking. with typed dining between pecking at the and table a smells in November out cooking letter to lips, Graham find home his alone, He One early to his I of luscious sitting needed several"
"Graham had developed an interest in Southeast Asian food. He asked me questions about what my mother cooked, ferrying tiny melamine bowls under my mouth to check flavors. Sometimes I saw the same concentration on his face as when he sketched the alien shapes of the transmission towers. He took in anecdotes about my childhood meals as if they would contribute to a portrait of a whole woman. He ignored the fact that mostly I cooked assorted chicken pieces on rice. I could tell him things about galangal, and he found that very profound.",['graham'],"I flavors. shapes about I portrait woman. under of he to him they a to food. questions sketched cooked, concentration I profound. would whole childhood chicken his tiny a melamine Sometimes fact the rice. contribute ferrying bowls mostly me my he about what meals an the cooked my on when anecdotes check and Asian mother very interest assorted in if ignored in that alien found mouth could same had the on He Southeast tell things my face saw asked developed He pieces took of towers. galangal, transmission the as about that as He Graham"
"At the end of the bridge year, the expats had to begin the next stage of assimilation—they had to get jobs. He wanted to rejoin the navy, despite its unrecognizable modernization. I wanted him in a role that didn’t require him to be at sea for months, possibly years, at a time. It was too soon, I told myself. Whatever Adela said, he wasn’t ready, he’d barely left London, let alone land. But I wanted him to stay for other reasons too. It was humiliating to know that about myself and to say nothing into his implacable placidity.",['adela'],"told soon, year, years, I to expats had myself him time. of him months, Whatever of to land. next London, nothing modernization. about for reasons It stay humiliating jobs. the him to was role rejoin ready, I At at end the and a its He the wasn’t bridge placidity. wanted left navy, he I It sea alone require had be begin for wanted wanted in possibly barely stage said, a he’d other at into assimilation—they to that Adela his to too myself. say to unrecognizable let implacable to that know get But the the didn’t despite too. was"
"In the background, Graham’s laptop had been providing an inappropriate soundtrack (Motown again). It clocked into its next track, which was the Beatles cover of “You’ve Really Got a Hold on Me.” I started laughing—partly because it was the most ludicrous song that could play at that moment, and partly because it felt quintessentially Victorian of him to hate the Beatles, which he did.",['graham'],"because was I at was Hold of it In Me.” song (Motown Really on because Victorian next did. quintessentially which soundtrack Got him moment, it had cover into background, that which Beatles, ludicrous a the play laughing—partly laptop again). and providing been track, to could It the its “You’ve partly felt an the Graham’s the Beatles started he that hate of clocked most inappropriate"
"When Graham got online, as he did not call it, and learned to peck at the keyboard with the elegance and speed of a badly burned amphibian, I imagined what might turn up on my reports from the Ministry’s search history database—“bosoms,” “tight lacing,” “stockings”—and spasmed with embarrassment. I was sick on the anticipation that I’d learn he was sexually cracked in some way, or worse, only interested in blond debutantes. One of his first searches was charmingly housewifely: “Most challenging recipes”; “How to make cheese soufflé”; “What is miso paste?”; “Where to buy miso paste”; “How long has Japan been open to Europe?” A day or so after I’d read this report, I received another that listed the following search terms:",['graham'],"speed I’d day “stockings”—and to so reports with online, “What the it, lacing,” to first “Most was of I When or in the the spasmed terms: listed Europe?” another One “Where call and miso read might challenging and blond that cheese up learn the I my has “tight sick is or interested to only Ministry’s not he received was got search paste?”; some buy imagined amphibian, history cracked anticipation search “How in following with “How as burned charmingly to Japan database—“bosoms,” learned on searches worse, badly report, I his peck way, housewifely: the debutantes. of on make paste”; been elegance turn embarrassment. soufflé”; after he miso I’d did Graham recipes”; a was sexually long open what this that A keyboard from at"
"Our street was in the early stages of overflow when I reached it. A lively river floor, applauding with raindrops, had replaced the road. I could make out the nauseous glimmer of high-vis jackets. There was shouting, some of it cheerful. The council had already delivered the sandbags—sent by trucks with wheels so big they looked like a rude joke—and people were fixing up domestic barricades. Blitz spirit, the newspapers called this sort of thing, as if either climate catastrophe or the Blitz was a national holiday. This stoic jollity was how we’d introduced the Second World War to the expats, by the way—Arthur had been so distressed to learn we’d gone in for global seconds that it seemed like the kindest option. We emphasized the scrappy heroism of Dunkirk, the selflessness of evacuee hosts, and, of course, the Blitz spirit. Still, we had not told them about the death camps.",['arthur'],"of been thing, trucks Still, the reached replaced the raindrops, the distressed heroism Our like early domestic kindest the the the fixing as There learn A stages Blitz high-vis evacuee called if either applauding told with it course, that the the like shouting, them catastrophe Dunkirk, was make the selflessness had barricades. already the way—Arthur delivered spirit, floor, the to of expats, War in stoic glimmer they could of was about holiday. big had up rude had newspapers World global and, we’d hosts, spirit. a we’d looked the road. Blitz we street was seemed the emphasized sandbags—sent by national introduced joke—and so a This lively Second I were river climate had I to gone the it. jollity with The of overflow so it jackets. out of council for option. death sort some how seconds was of this nauseous Blitz We by not in scrappy cheerful. people when of wheels or camps."
"“It’s better that we continue to work closely with Eighteen-forty-seven,” Adela had said, “given that he seems likely to survive the year.”",['adela'],"seems the closely Adela had work Eighteen-forty-seven,” better “It’s that that to to likely survive “given with he continue we year.” said,"
"Adela’s voice contracted on that last sentence. She wiped her gaze, concentrated in her one working eye, up and down my face, to see if I’d noticed, and continued, “Our first priority is protecting the expats and the time-door. The time-door has been moved to a secure location. I suggest you retake the physical aptitude assessment, and then we can work on your lateral-reasoning scores—”",['adela'],"then noticed, and to down The see the She to lateral-reasoning priority one and her working first that time-door. assessment, wiped contracted gaze, work location. on her is last voice you we time-door concentrated the eye, on been if I’d “Our in physical a can the and sentence. retake Adela’s aptitude secure my moved suggest continued, and your face, has I scores—” expats up protecting"
"Arthur was gentle, no matter how grotty my behavior. He had found out about Scrabble, and he sometimes brought his travel set along—my inner competitive bitch could stave off a black mood for half an hour or so.",['arthur'],"how competitive an for found brought bitch about gentle, hour off stave or behavior. along—my was grotty his He no my so. he half travel and a Scrabble, out set inner sometimes black could had matter mood Arthur"
"My email made a chiding noise. Adela was the originator, and she’d put me in blind copy. It was a short email. Adela had a real gift for cramming apoplexy into a couple of lines.",['adela'],"noise. had couple It copy. short a me real into made blind Adela of put a for was Adela in gift and apoplexy My chiding originator, cramming a the was email. email lines. a she’d"
"The email told us that her death would be reported to the expats as a suicide. “This cannot be emphasized enough,” Adela had written, with a double underline.",['adela'],"the “This written, suicide. enough,” a expats reported us that had email be death cannot as her told be to Adela with would The a double emphasized underline."
"Arthur smiled and sat down beside me, stretching out his long legs. Twisting the signet ring on his finger—a tell as clarion as my skin biting—he murmured, “We didn’t know her as well as we would have liked. I wish we had.”",['arthur'],"Arthur his the legs. her stretching ring long have wish and well liked. didn’t skin we biting—he as had.” my down beside Twisting me, tell murmured, out as clarion on I know as would sat his finger—a smiled “We as we signet"
"Anne Spencer almost made it off those wards. After I read the email, an ancient and exuberant terror blazed through me. It was partly the terror that had grown in me alongside my very bones, knowing as I did that I only existed because my mother had outrun almost; I don’t know at what point you stop feeling the need to run, generation by generation, when you’re born after that.",['anne spencer'],"I don’t generation that almost; an born run, terror wards. Anne I off you’re stop because me. that. need outrun It in and as Spencer my partly the to email, you existed was my very read blazed the grown me by know it After point I after when ancient only had bones, that mother did I knowing terror exuberant made almost at alongside feeling through had the what generation, those"
"He was sitting at the noisome kitchen table, staring at nothing. Rogue Male was lying splayed and face down by the ashtray. The thing in my chest kicked again as I realized he must have grabbed it as we left our home. When I came in, he didn’t move anything but his gaze, which swung up like a whip.",['rogue male'],"thing in a up Rogue noisome it move Male the his face he When nothing. at The swung by like which as and at anything whip. have was I didn’t splayed in, he chest I as down was our ashtray. He but kitchen again home. sitting table, must lying my realized grabbed left we gaze, came staring kicked the"
