en,Single_ent,en_shuffled,en_results,en_shuffled_results
"Peter said this felt like an invitation. Laughed, almost self-deprecatingly, as he added, “I’d never believed in fate before that.”",['peter'],"before fate Peter this he in like invitation. never Laughed, “I’d said self-deprecatingly, believed felt as that.” almost added, an","<output>""title"": ""The Night Circus"",""author"": ""Erin Morgenstern""</output>","<output>""title"": ""Peter Pan"",""author"": ""J.M. Barrie""</output>"
"My hat landed atop a pile of discarded lo mein, the lip of the can smashed into my rib cage, and I did a wheezing pratfall into the grass. Peter described this as “adorably clumsy.”",['peter'],"the and lo can my pile into the mein, a I into lip My this pratfall a of did smashed grass. of atop as Peter wheezing cage, “adorably clumsy.” described discarded landed the rib hat","<output>""title"": ""To All the Boys I've Loved Before"",""author"": ""Jenny Han""</output>","<output>""title"": ""The Fault in Our Stars"",""author"": ""John Green""</output> 

(Note: The passage appears highly fragmented and jumbled, making it difficult to accurately pinpoint its true source. This guess is speculative.)"
"“I fell in love with Daphne the moment I looked up from her hat,” he’d say, no mention of the trash-noodles in my hair.",['daphne'],"looked I he’d mention hair. fell in in no of from her “I up the trash-noodles Daphne moment hat,” my love the say, with","<output>""title"": ""Bunny"",""author"": ""Mona Awad""</output>","<output>""title"": ""The Bell Jar"",""author"": ""Sylvia Plath""</output>"
"Over the last three years, Peter dusted off Our Story every chance he got. I was sure he’d work it into both our vows and his wedding reception speech.",['peter'],"three every was he our his reception off Our I dusted Over he’d chance work the both last sure speech. and into Story wedding Peter years, vows it got.","<output>""title"": ""Spare"",""author"": ""Prince Harry""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
“Could you just turn it down?” I say. “All the plates are rattling in the cabinets and Mr. Dorner’s trying to bust down the living room wall.”,['dorner'],the cabinets wall.” Dorner’s are say. room you I trying down “Could plates and to the living it bust Mr. in turn down?” the just “All rattling,"<output>""title"": ""We Were Liars"", ""author"": ""E. Lockhart""</output>","<output>""title"": ""The Catcher in the Rye"",""author"": ""J.D. Salinger""</output>"
"Petra is also a stoner without a college degree, but I guess it’s different when you’re a perfect ten with a picturesque family and well-padded bank account. Then you’re not a stoner; you’re a free spirit.",['petra'],"it’s a a not but Then stoner; account. guess you’re with Petra a stoner ten without family well-padded a college when degree, a you’re also you’re different free picturesque and is perfect a spirit. bank I","<output>""title"": ""Luckiest Girl Alive"", ""author"": ""Jessica Knoll""</output>","The provided passage seems disordered and fragmented, making it challenging to pinpoint its origin. However, I will make an educated guess based on the content and available context.

<output>""title"": ""Stoner"",""author"": ""John Williams""</output>"
"When I jolted awake at the click of the front door, it was full bright in the living room, so I could see Peter’s surprise at finding me there.",['peter'],"When the it see finding at the I was front awake there. I of door, click so me bright room, living could jolted full at surprise the Peter’s in","<output>""title"": ""The Fault in Our Stars"", ""author"": ""John Green""</output>","The passage provided seems to be nonsensical or scrambled, making it difficult to accurately identify the book or the author. However, I'll make an educated guess based on patterns or themes.

<output>""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner""</output>"
"“No!” he said. “I mean, it wasn’t like that. We’re . . . She told me she’s in love with me, Daphne. And I realized I am too. In love. With her. Fuck, I’m so sorry.”",['daphne'],"in “No!” With I love. he her. In am mean, And love me told she’s sorry.” like . I’m too. with We’re it . “I Daphne. said. so wasn’t . I me, that. realized She Fuck,","<output>""title"": ""It Ends With Us"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>"
"“Are you fucking kidding me, Peter?” I jumped up. I didn’t feel hurt then. That would come later. First it was all rage.",['peter'],"“Are fucking kidding I feel hurt didn’t you it was later. rage. come would me, That then. Peter?” up. jumped First I all","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
"“Of course she fucking meant for this to happen, Peter! She had twenty-five years to tell you she was in love with you and chose last night!”",['peter'],"night!” happen, she meant in had and last to chose love you course to fucking she twenty-five this tell years with “Of Peter! She you for was","<output>""title"": ""Love, Theoretically"",""author"": ""Ali Hazelwood""</output>","The given passage is highly jumbled and does not present coherent content. Based on this information alone, it is exceptionally difficult to determine its origin with any certainty. However, I will make an informed guess.

<output>""title"": ""Normal People"",""author"": ""Sally Rooney""</output>"
"“I’m really sorry, Daph,” he said, and leaned in to kiss my forehead like some benevolent father figure, regretfully shipping off for war to do his duty.",['daph'],"like sorry, my “I’m duty. do kiss war Daph,” some leaned to regretfully father shipping he forehead his in to off and really said, figure, for benevolent","<output>""title"": ""It Ends With Us"",""author"": ""Colleen Hoover""</output>","The provided passage appears to be a jumbled and incoherent excerpt. It might be the result of a misformatted or scrambled text. Based on this passage, it is challenging to determine with certainty the book or the author it originates from.

However, since a guess is required, I will make an attempt:

<output>""title"": ""The Idiot"",""author"": ""Fyodor Dostoevsky""</output>"
"I stayed there watching the road for probably ten minutes. Then I went back inside and cried so hard it might’ve made me vomit, if I hadn’t completely forgotten to eat the night before. I wasn’t much of a cook, and besides that, Peter was extremely careful with his diet. Low carbs, high protein. I dug around our understocked cabinets and started making Easy Mac.",['peter'],"cook, made Mac. hard of extremely high vomit, eat cried the me Low around and his and it hadn’t a I that, careful I stayed and much to back I might’ve night protein. went carbs, making cabinets so watching before. road was inside understocked besides for wasn’t started the Peter completely forgotten if our minutes. probably Easy there I with Then dug diet. ten I","<output>""title"": ""Verity"", ""author"": ""Colleen Hoover""</output>","The passage provided appears to be highly scrambled and nonsensical as written, making it difficult to determine its context, book, or author. However, given the task's requirement to make a guess, I will attempt to provide one.

<output>""title"": ""Infinite Jest"",""author"": ""David Foster Wallace""</output>"
"Fool that I am, my only guess was that Peter had come back. That he’d made it to the airport only for a burst of clarity to send him racing home to me.",['peter'],"only Fool him home come racing of made to send to my burst am, that That back. a the he’d to me. I for airport was only Peter it guess had that clarity","<output>""title"": ""Romantic Comedy"",""author"": ""Curtis Sittenfeld""</output>","The passage provided is heavily fragmented, and it seems unclear or jumbled. While this makes it challenging to identify the source with certainty, I will attempt to make an educated guess.

<output>""title"": ""The Goldfinch"", ""author"": ""Donna Tartt""</output>"
"Then Peter and I moved into the Waning Bay house, with its wraparound porch. That day, he scooped me into his arms, carried me over the threshold, and said three magic words that changed my little minimalist heart forever.",['peter'],"carried forever. porch. Peter and little me That me he arms, wraparound the with minimalist day, my I words its said house, magic that changed scooped threshold, the and moved Then over into three heart his Waning Bay into","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","The passage appears to be heavily fragmented or potentially scrambled, making it difficult to identify its source with certainty. That said, I will make an educated guess. 

<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
"Somehow, the kids manage even more enthusiasm for tacos than they did for dragons. When I ask if they already knew that dragons love tacos, their shrieks of delight are earsplitting. Arham jumps up, the heels of his sneakers flashing red as he shouts, “Dragons eat people!”",['arham'],"red the their enthusiasm ask dragons. did that tacos, already they “Dragons the they dragons Somehow, shouts, tacos more I if manage are When love of for kids his Arham delight people!” of flashing knew as up, for than shrieks heels sneakers even he jumps earsplitting. eat","<output>""title"": ""Dragons Love Tacos"",""author"": ""Adam Rubin""</output>","<output>""title"": ""Dragons Love Tacos"",""author"": ""Adam Rubin""</output>"
"Just as I predicted, the energy that greeted me has fizzled, the kids mostly settling into pleasant sleepiness in time to pack it in and head home, except for one of the Fontana triplets, who’s tired enough to devolve into a minor meltdown as her mom is trying to get her and her siblings out the door.",['fontana'],"Fontana the minor her who’s devolve of me one into to triplets, that sleepiness pleasant energy meltdown and it is her tired her the in siblings to greeted into predicted, trying head enough has to mostly fizzled, in kids as and time pack door. a home, for the settling get mom the out Just except I as","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
"Hell, I’m old enough to have a daughter named Renesmee on one of those U-5 soccer teams where the kids take turns kicking the ball the wrong way, then sitting down midfield to take off their shoes.",['renesmee'],"those sitting shoes. take the one then a daughter enough soccer the on take to old I’m kids Hell, to ball turns teams midfield of U-5 their named have where Renesmee off kicking the way, wrong down","<output>""title"": ""Midnight Sun"",""author"": ""Stephenie Meyer""</output>","<output>""title"": ""Breaking Dawn"",""author"": ""Stephenie Meyer""</output>"
"By the time I climb the stairs and reach the front door, I’m clammy with sweat, and inside I drop my tote and wrestle out of my cardigan before toeing off my loafers. Then I check my phone calendar against the whiteboard. The only thing that’s changed since last night is, I agreed to host the Thrills and Kills book club on Thursday while Landon, the patron services assistant who usually runs it, recovers from his root canal.",['landon'],"against time I’m Then Thrills stairs only off is, patron since canal. my night whiteboard. I the tote while my cardigan of the recovers sweat, front club runs the last phone inside it, Thursday to check from Landon, that’s agreed I and with my assistant thing root By book clammy the Kills drop I out toeing the reach I climb changed usually and and calendar door, loafers. and his the host The who wrestle services my on before","<output>""title"": ""The Quiet Library"",""author"": ""Emily Henry""</output>","<output>""title"": ""Uncertain (text is too jumbled to determine)"", ""author"": ""Uncertain""</output>"
"The worst part is, even after all this, I’m not positive I don’t love him. I mean, not this version of him, but the part that remembered every important date, who brought home flowers just because he happened to be walking past a cart selling them, the Peter who had my favorite soup delivered to me every time I got sick.",['peter'],"sick. The don’t me that love my walking this every even got delivered be date, a the had soup to not him. mean, is, just not I them, of part positive remembered after time who all to I the every past he worst him, version part this, cart home but brought Peter selling I because favorite flowers who happened important I’m","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
"“We know how hard this must be for you,” he’s saying, and just like that, he snaps back into the other Peter. The one I hate. “And I just . . . I hate to think of you there, on your own . . .”",['peter'],"hate. . just must I just one and on of how this Peter. you own .” there, “We he’s “And saying, The . know he to you,” the other like I back hard snaps I . think . into for that, be hate . your","<output>""title"": ""It Ends With Us"",""author"": ""Colleen Hoover""</output>","The passage provided appears to be jumbled or nonsensical, making it extremely difficult to identify with certainty. However, taking a guess, this could potentially be from *The Hate U Give* by Angie Thomas since the passage mentions ""hate"" several times and could be thematically linked.

<output>""title"": ""The Hate U Give"",""author"": ""Angie Thomas""</output>"
"I face the window and pantomime a scream, one hand dragging down the side of my face. I wonder if this exact scenario inspired Edvard Munch’s The Scream.",['edvard munch'],"the a and face pantomime scream, my wonder The hand this of Munch’s the dragging inspired Scream. down scenario one face. I Edvard window side if I exact","<output>""title"": ""A Court of Silver Flames"",""author"": ""Sarah J. Maas""</output>","<output>""title"": ""The Scream of Nature"",""author"": ""Edvard Munch""</output>"
The weighty silence tells me Peter is doing invisible calculus now. Only he’s got the brain for it. “You can’t mean . . .” His voice slides past disbelief straight into incredulity. “You’re with Miles?”,['peter'],past .” silence straight got slides can’t into calculus disbelief . Miles?” His now. with Only “You the mean weighty me incredulity. voice tells “You’re . for The doing is invisible he’s brain it. Peter,"<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","<output>""title"": ""Looking for Alaska"",""author"": ""John Green""</output>"
"I need to get off the phone before I involuntarily spring a fictional pregnancy on him. “I’ve got to go, Peter. Take care.”",['peter'],"I phone a Peter. to off go, got “I’ve on I fictional before involuntarily him. care.” Take need pregnancy to spring the get","<output>""title"": ""The Hating Game"",""author"": ""Sally Thorne""</output>","The passage appears to be nonsensical and does not provide enough context to clearly identify a book or author. However, I will make an educated guess based on the task's requirements.

<output>""title"": ""The Bell Jar"",""author"": ""Sylvia Plath""</output>"
"“Did you call Peter drunk?” he says, unwrapping his sandwich, flipping it open, and absolutely slathering the egg and avocado inside with sriracha.",['peter'],"the call and with Peter says, inside “Did his flipping unwrapping avocado sriracha. open, and drunk?” you egg it absolutely slathering sandwich, he","<output>""title"": ""Happy Place"", ""author"": ""Emily Henry""</output>","The passage provided appears to be a nonsensical and fragmented text, possibly due to being scrambled or taken out of context. This makes identifying the exact book and author highly uncertain. However, I will make a guess based on the modern, conversational tone and mention of things like avocado and sriracha, which suggest contemporary fiction.

<output>""title"": ""Normal People"",""author"": ""Sally Rooney""</output>"
"Basically, she’s me at twelve years old, if I’d been nine hundred times cooler. Right down to the fact of being the only child of an overworked but lovely single mother with a penchant for eighties British goth rock. During the school year, Maya walks the short distance from the junior high to the library, and her mom picks her up when she finishes her paralegal shift.",['maya'],"high Basically, distance short the her from junior me year, but with twelve hundred goth lovely single overworked child paralegal fact shift. library, the I’d the the the picks penchant walks finishes to an and being eighties school a nine old, she years only cooler. of her mom her to been rock. for the During she’s times British mother of down Maya up at if Right when","<output>""title"": ""Tomorrow, and Tomorrow, and Tomorrow"",""author"": ""Gabrielle Zevin""</output>","<output>""title"": ""Impossible to determine"",""author"": ""Impossible to determine""</output>"
"The new hardcover fantasy I handpicked for her is the most expensive book on the list, but I can’t bear to cut it. Ordinarily, I talk this kind of thing over with Harvey, the branch manager, but he left early for his youngest daughter’s med school graduation (the other two are already doctors; he’s apparently created an army of high achievers).",['harvey'],"I talk but on this he’s graduation the army his can’t I the two of hardcover bear expensive for over book for Ordinarily, is left to cut doctors; most created kind the with achievers). apparently he daughter’s The are youngest manager, list, fantasy an of it. new med her school thing other handpicked branch I already early (the Harvey, high but","<output>""title"": ""The Thursday Murder Club"",""author"": ""Richard Osman""</output>","Based on the passage provided, the text appears highly disjointed and fragmented, making it difficult to identify a clear narrative, context, or stylistic hint to associate it with a specific book or author. However, it bears some resemblance to experimental or abstract styles of literature.

<output>""title"": ""Finnegan's Wake"",""author"": ""James Joyce""</output>"
"I personally hate beer. Obviously Petra loves it. She’s a walking fantasy, and I’m a librarian who actually does wear a lot of buttons and tweed.",['petra'],"personally librarian actually I it. a who I’m loves lot and hate does Obviously of She’s fantasy, a buttons Petra a and wear beer. tweed. walking","<output>""title"": ""The Princess Diaries"", ""author"": ""Meg Cabot""</output>","<output>""title"": ""The Personal Librarian"",""author"": ""Marie Benedict and Victoria Christopher Murray""</output>"
There is absolutely no way I can go to Chill Coast. Waning Bay is small enough without me wandering directly into the heart of the Peterverse.,['peterverse'],go the small I is enough Peterverse. There Waning can way is no me heart the of wandering without to Bay absolutely Chill into directly Coast.,"<output>""title"": ""Hell Bent"", ""author"": ""Leigh Bardugo""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
"“Is that the one with the hot drug-dealer bartender, or the one down the road from that one, where they only play Tom Petty?”",['tom petty'],"the play that one, Tom that the only hot the they or drug-dealer the road Petty?” bartender, from one down where one with “Is","<output>""title"": ""Beach Read"",""author"": ""Emily Henry""</output>","The passage appears to be heavily distorted or out of context, making it challenging to identify its source accurately. However, based on the limited information, I will make an educated guess.

<output>""title"": ""The Outsiders"",""author"": ""S.E. Hinton""</output>"
"I haven’t worn it since, which is stupid, because it cost way more than I would ordinarily spend (Peter bought it) and it’s extremely flattering.",['peter'],"since, way it spend it) flattering. more because (Peter is than which stupid, ordinarily worn it bought haven’t cost I extremely I and it’s would","<output>""title"": ""The Girl on the Train"",""author"": ""Paula Hawkins""</output>","The given passage appears to be jumbled and nonsensical, which makes identification of the origin challenging. However, attempting to make an educated guess based on style and content is part of the task.

<output>""title"": ""Ulysses"",""author"": ""James Joyce""</output>"
"In my defense, Landon is nineteen years old and nearly always listening to shoegaze in his AirPods at the decibel of a launching rocket, so it’s not like there have been loads of opportunities to bond.",['landon'],"bond. there my have Landon always launching loads not to nearly in years AirPods and so like of rocket, opportunities the his listening old In nineteen a at it’s defense, of is been shoegaze decibel to","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","The provided passage appears to be nonsensical and lacks coherent context, making it unable to be directly matched to a specific book or author. Given the requirements to make a guess, I will provide a speculative answer.

<output>""title"": ""Infinite Jest"",""author"": ""David Foster Wallace""</output>"
"Then again, maybe in five years, he still would’ve left me for Petra. Maybe they’re every bit as destined as he’s convinced. I’m nauseated by the thought that maybe she belongs there, in that home I’d thought was mine, while I belong nowhere.",['petra'],"as five that bit as the she I nauseated mine, home Maybe every Then me by while he destined thought in would’ve was belongs convinced. in Petra. still for maybe nowhere. I’d left thought years, I’m there, again, that belong they’re maybe he’s","<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""Sorry, I can't accurately identify this book"",""author"": ""Unknown""</output>"
"She nods thoughtfully. “Fair. But for what it’s worth, I’m always late because I have a kid. So I’d like to think my friends can rely on me, but if it comes down to it, yeah, I choose Mulder every time.”",['mulder'],"it, choose friends late if nods yeah, have down like worth, She always thoughtfully. kid. I can I’d my a on it’s because comes I’m rely but me, I But So time.” “Fair. to what to it every for Mulder think","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","It appears the passage is highly fragmented and lacks coherent context, making it challenging to identify its exact origin. However, I’ll make a guess based on the style.

<output>""title"": ""Conversations with Friends"",""author"": ""Sally Rooney""</output>"
"“It was terrible!” she agrees. “Every day I’d wake up and have, like, one second of peace. Then I’d remember, Oh, shit, I’m someone’s mom. I was a wreck, for like six months. But it did convince me to go back to school to become a librarian, and Mulder’s pretty much my best friend, so all worth it.”",['mulder'],"it.” six go I’d back mom. have, was did and a day I’m wreck, a so and to much shit, pretty for friend, up it librarian, “Every wake I’d me second remember, someone’s Then one she worth But to agrees. become best like, I my months. Oh, terrible!” Mulder’s all “It convince was to like school of peace.","<output>""title"": ""Malibu Rising"",""author"": ""Taylor Jenkins Reid""</output>","The passage provided seems highly disjointed and might be scrambled, which makes identifying the book and author extremely challenging. However, based on certain fragmented clues like ""Mulder"" (which might refer to a popular character from *The X-Files*) and the tone of the passage, I will make a guess based on existing patterns in modern books.

<output>""title"": ""A Touch of Jen"",""author"": ""Beth Morgan""</output>"
"“Well, I don’t,” I say. “Now there’s no good way to get out of it. I mean, when we ‘break up,’ Peter will get to feel smug and superior about that.”",['peter'],"I of way I “Well, Peter smug good we will “Now mean, superior out to no and don’t,” it. feel about get up,’ there’s that.” I ‘break say. to when get","<output>""title"": ""To All the Boys I've Loved Before"",""author"": ""Jenny Han""</output>","The passage provided appears to be fragmented and jumbled, making it difficult to discern its original source. However, I will make an informed guess based on the style and available clues.

<output>""title"": ""Peter Pan"",""author"": ""J.M. Barrie""</output>"
