en,Single_ent,en_shuffled,en_results,en_shuffled_results
"My chest pinches. “Sort of. I mean, maybe not close. But they were always really nice. His mom came wedding dress shopping with me and my mom. And she got a monogrammed Christmas stocking made for me to match his and his brother’s. They’re the kind of family with a million traditions. Certain plates and specific desserts for each of their birthdays. Every single thing in their house was some kind of heirloom with some great story, and he and his brother, Ben, would argue over who’d inherit what someday, but in this jokey way. The whole extended family always comes here for New Year’s Eve and they do a white elephant gift exchange, and it’s all very . . . I don’t know. I just really wanted . . .”",['ben'],".” . The close. Christmas desserts kind who’d what family white not really brother’s. nice. this . single was really They’re some whole monogrammed kind brother, His and their house with mom gift and my made got wedding and someday, New mom. “Sort I for his a a inherit family Certain way. came his Every know. jokey his would all in over the they But a dress And comes heirloom were always she he to exchange, traditions. just birthdays. of. wanted mean, with I story, chest I do me some very with million they . but of pinches. in of always me shopping maybe don’t elephant Year’s each for and . and thing and argue extended plates match here their it’s stocking Eve . specific of great and Ben, My for","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","The passage provided appears to be heavily disordered or scrambled, making it challenging to determine the exact source. However, based on the thematic elements (family traditions, holiday gatherings, heirlooms, and personal anecdotes), it might be reminiscent of contemporary fiction discussing family relationships and dynamics.

<output>""title"": ""This Is Where I Leave You"",""author"": ""Jonathan Tropper""</output>"
"“Too busy. When I was a kid, she worked a lot to make ends meet, and she always said she’d rather spend her free time with me. I figured once I went to college, she’d give it a try. Instead she got really into CrossFit and made a ton of friends. She’s always basically either exercising with a lady named Pam or taking art classes with a woman named Jan, or drinking smoothies with both of them. She’s really happy, though. That’s what matters.”",['pam'],"Jan, give I rather I art once named lot me. always kid, “Too her or of really friends. exercising lady Instead with a woman into ton got and she try. named taking Pam really or was happy, meet, matters.” a though. to ends made When she’d She’s I spend a figured time classes them. college, make busy. it what CrossFit with with a said That’s worked basically a a drinking smoothies always with She’s she went both free and either to she she’d of","<output>""title"": ""People We Meet on Vacation"",""author"": ""Emily Henry""</output>","<output>""title"": ""Sorry, this text appears to be garbled or incoherent, making it very difficult to identify a specific book"",""author"": ""Unknown""</output>"
The serious one who gives good eyebrow and the wisecracking sidekick who is absolutely always Ryan Reynolds or someone nearly indistinguishable from Ryan Reynolds when you close your eyes.,['ryan reynolds'],your when eyes. serious always nearly Ryan gives the Reynolds sidekick someone or Reynolds one wisecracking eyebrow and is from indistinguishable close The you who who good Ryan absolutely,"<output>""title"": ""No One Is Talking About This"",""author"": ""Patricia Lockwood""</output>","<output>""title"": ""Indistinguishable from Magic"",""author"": ""Arthur C. Clarke""</output>"
"I lean into the pressure, pitching my weight forward into my hands on either side of him. His palms scrape down me, and we rock together in slow, heavy waves. He pulls the open center of my shirt to one side so half of my chest is bared. “God, Daphne,” he says, dragging the open neckline back the other way, lifting himself enough to catch bare skin in his mouth this time.",['daphne'],"my His open is way, dragging in “God, pressure, on my enough of to heavy the open of one says, down me, Daphne,” slow, lifting he together mouth He of him. forward shirt center neckline side either and other so weight waves. the to his back the in skin chest catch himself bared. scrape we half I time. palms side my this into pulls the pitching lean hands rock into my bare","<output>""title"": ""Credence"",""author"": ""Penelope Douglas""</output>","<output>""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""</output>"
"It was probably too honest for a stupid get-to-know-you game, but when it was my turn I said, “Unfortunately, I’m probably Charlotte Lucas.”",['charlotte lucas'],"get-to-know-you was said, was stupid a Charlotte probably game, but when it I’m turn my honest Lucas.” “Unfortunately, for I It probably too","<output>""title"": ""Love, Hate and Other Filters"",""author"": ""Samira Ahmed""</output>","<output>""title"": ""Pride and Prejudice"",""author"": ""Jane Austen""</output>"
"“Hi!” she says brightly, hurling—actually throwing—her duffel bag in the general direction of the living room. “You must be the roommate, Daphne.”",['daphne'],"general in duffel be bag Daphne.” says hurling—actually must the the brightly, “You she roommate, living of “Hi!” direction the room. throwing—her","<output>""title"": ""The Roommate"",""author"": ""Rosie Danan""</output>","The given passage appears to be jumbled and may not provide a clear and coherent excerpt for accurate identification. However, based on some keywords like ""roommate"" and ""duffel bag,"" a plausible guess might connect it to contemporary novels involving young characters or roommates. 

<output>""title"": ""Rebecca"",""author"": ""Daphne du Maurier""</output>"
"He swats her hand out of the way. “Jules, inside voice. Our crotchety neighbor is going to come yell at us.”",['jules'],"at “Jules, out come is crotchety yell way. neighbor the us.” going inside of swats voice. He to hand her Our","<output>""title"": ""The Love Hypothesis"",""author"": ""Ali Hazelwood""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
"She spins toward me, face alight, a more extreme version of Miles’s lit-from-within, delighted-by-everything grin. “I’ll give you twenty bucks if you tell me the truth, Daphne.”",['daphne'],"bucks lit-from-within, if you delighted-by-everything me, grin. a She “I’ll more spins of give me Miles’s alight, you truth, Daphne.” face twenty toward tell extreme version the","<output>""title"": ""Happy Place"", ""author"": ""Emily Henry""</output>","<output>""title"": ""The Goldfinch"",""author"": ""Donna Tartt""</output>"
"He leans forward and peers around the cupboard to see the oven clock. “Shit.” He passes me one of the thermoses. “I gave myself an extra fifteen minutes, and there was no line, but then I got caught up talking to the barista and . . . anyway, I’m sorry, Daphne.”",['daphne'],"the oven the . sorry, see clock. around an . to “Shit.” fifteen I’m and He Daphne.” thermoses. got “I the was and peers up then there minutes, extra to gave cupboard He but I leans one and forward me caught of talking no passes the anyway, myself barista line, .","<output>""title"": ""The Atlas Six"",""author"": ""Olivie Blake""</output>","The passage appears to be heavily distorted or nonsensical, making it challenging to identify its source. However, I must make an educated guess based on the fragmented details.

<output>""title"": ""Verity"",""author"": ""Colleen Hoover""</output>"
"I’m not buying it, though: the last time I wore a skirt at work, Handsy Stanley told me I was going to give him a heart attack.",['handsy stanley'],"Handsy him give time last told wore work, was me heart I though: Stanley skirt it, a a attack. the going to at buying I I’m not","<output>""title"": ""The Love Hypothesis"", ""author"": ""Ali Hazelwood""</output>","<output>""title"": ""Ulysses"",""author"": ""James Joyce""</output>"
"“Enjoy it,” he says. “I don’t plan on getting up this early ever again. I hate to admit it, but Petra was right.”",['petra'],"“Enjoy don’t says. it,” up plan “I ever on admit again. right.” getting he to hate it, was Petra this but early I","<output>""title"": ""Scythe"",""author"": ""Neal Shusterman""</output>","<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
"“Yes, Daphne, if something changes, and I need to escape a freshwater shark, I’ll paddle my little heart out and leave you for dead.”",['daphne'],"heart for shark, a out I’ll little something changes, freshwater paddle my and you “Yes, and Daphne, escape if need to I leave dead.”","<output>""title"": ""It Happened One Summer"",""author"": ""Tessa Bailey""</output>","The provided passage seems either jumbled or constructed in a way that makes coherent identification difficult. However, based on the vaguely discernible fragmented style, it might remind one of experimental or avant-garde narrative styles. That being said, I will make a guess based on limited clues.

<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
"He swims toward me, loops an arm around my back, my stomach lifting into my chest at the feeling of his skin on mine, his weight pulling us downward as my heart buoys into the back of my throat. “Your physics are off, Daphne,” he says against my ear as we start to sink.",['daphne'],"skin his start heart my my into says my mine, chest toward at me, buoys Daphne,” my against throat. weight back stomach the into he around “Your sink. the ear lifting on swims my to back, as of his pulling physics of off, us arm feeling downward as an we loops He my are","<output>""title"": ""If He Had Been with Me"",""author"": ""Laura Nowlin""</output>","The passage provided appears to be heavily jumbled or fragmented, which makes it difficult to identify its origin with clear certainty. However, the fragmented and poetic nature of the passage might hint at a contemporary novel with a stylistic or experimental writing approach.

<output>""title"": ""The Song of Achilles"",""author"": ""Madeline Miller""</output>"
"Looking at his mouth, I forget what we were just talking about. I swallow a thorny knot and touch the scratchy corner of his jaw. “Beard’s almost back.”",['beard'],"mouth, knot his about. touch “Beard’s his almost what scratchy corner and the of we forget I swallow Looking just thorny were jaw. talking a at back.” I","<output>""title"": ""The Hunger Games: Mockingjay"",""author"": ""Suzanne Collins""</output>","<output>""title"": ""The Fault in Our Stars"",""author"": ""John Green""</output>"
"His hand circles my wrist lightly, an electric frisson leaping from him to me. “Petra hated it too,” he says, his voice a buzz, half heard through the music.",['petra'],"heard His a lightly, says, circles me. he from an half frisson “Petra his buzz, leaping my to electric it music. hand him hated the voice too,” through wrist","<output>""title"": ""Verity"",""author"": ""Colleen Hoover""</output>","<output>""title"": ""House of Leaves"",""author"": ""Mark Z. Danielewski""</output>"
"“Can I ask . . .” I trail off, trying to decide how to phrase it. “Is it too soon for me to ask what happened? Between you and Duke?”",['duke'],"ask .” to for soon what ask “Is off, me trail it . happened? how Between and trying decide . it. you “Can Duke?” I to too phrase I to","<output>""title"": ""Things We Never Got Over"", ""author"": ""Lucy Score""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
"“Duke was my high school boyfriend,” she says, then pauses to chew for a second. “We broke up when we went to college. Then we both ended up back here. Eventually, we ran into each other at the YMCA, then met up at his car in the parking lot, as I mentioned.”",['duke'],"pauses broke at the went YMCA, she ran “Duke at college. Eventually, as here. says, a mentioned.” when each back up up second. chew ended up lot, Then then the then my I we met other “We we parking to for boyfriend,” we his car in both into to high school was","<output>""title"": ""Happy Place"",""author"": ""Emily Henry""</output>","The given passage appears to be distorted or nonsensical, making it extremely challenging to accurately identify the book or its author with certainty. However, based on some interpretative attempts, I don't see a clear lead indicating a specific text or author. Consequently, I'll make a speculative guess based on its fragmented and seemingly contemporary language.

<output>""title"": ""Beautiful World, Where Are You"",""author"": ""Sally Rooney""</output>"
"She gives a blasé shrug. “Sometimes it’s terrible, but this was my choice. I think a lot of my friends thought I was a selfish idiot, giving up a pretty good thing just for the hope of a really good thing. But how can I teach my kid not to settle if I’m not willing to fight for the life I want? I tried so hard to love the one I had, and if Duke had tried too, I would’ve held on. But he’s just one of those guys who doesn’t believe in sharing his ‘business’ with a stranger, so therapy’s out.",['duke'],"settle the and fight thing was a “Sometimes lot I giving for it’s terrible, would’ve too, life my if to of I not he’s out. to of But shrug. think idiot, But this for of with was good tried love a I up one who selfish blasé want? held guys ‘business’ gives a a hard I really the just friends but how a on. the so tried thought doesn’t therapy’s kid hope had, his good choice. teach had not She a Duke just sharing my to thing. in I willing I I’m can those I believe my pretty one if stranger, so","<output>""title"": ""Book Lovers"", ""author"": ""Emily Henry""</output>","The passage provided seems nonsensical and fragmented, making it incredibly difficult to discern a coherent narrative or context. However, if I were to make a guess based on certain stylistic elements or patterns (like fragmented thoughts and introspective musings), it might resemble modern novels with stream-of-consciousness writing or experimental formatting.

<output>""title"": ""Normal People"", ""author"": ""Sally Rooney""</output>"
"I must take too long to go on, because a slight smile tugs at his mouth, his eyes sparking with humor. “There’s no pressure, Daphne,” he says. “If you don’t want to—”",['daphne'],"go on, to—” mouth, humor. long his take must he a you don’t says. I too no eyes because “If to his tugs sparking at slight want Daphne,” with smile pressure, “There’s","<output>""title"": ""Twisted Games"",""author"": ""Ana Huang""</output>","<output>""title"": ""Bridgerton: The Duke and I"",""author"": ""Julia Quinn""</output>"
"The tiny woman with her, arms wrapped around Petra, both of them beaming in front of decimated plates of chocolate waffles on an orange-checked tablecloth.",['petra'],"both orange-checked of tiny waffles arms in woman chocolate tablecloth. of on them The Petra, an wrapped beaming front plates her, with of decimated around","<output>""title"": ""The Goldfinch"",""author"": ""Donna Tartt""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
"Harvey snorts. “I know I’ve got a youthful glow, but I wasn’t born yesterday. Come in, come in. Shoes off. Everyone’s back in the breakfast nook.”",['harvey'],"nook.” Shoes in, know breakfast but yesterday. glow, the off. in. “I a Everyone’s come got born I’ve Harvey youthful snorts. back Come wasn’t I in","<output>""title"": ""The House in the Cerulean Sea"",""author"": ""TJ Klune""</output>","The passage appears to be heavily scrambled and does not make clear sense, but I will make an educated guess based on the style and recognizable elements. 

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
"I slip my loafers off next to Ashleigh’s knee-high boots and we follow Harvey down a narrow, wood-paneled wall toward the sound of smooth jazz and the potent smell of cigar smoke. Every inch of the walls is devoted to at least three generations of family photos, ranging from recent shots of his granddaughters’ soccer tournaments all the way back to time-faded wedding portraits of him and his late wife.",['harvey'],"his the Harvey a least of loafers cigar of of slip of back devoted wood-paneled Ashleigh’s jazz to time-faded and down follow toward his way off and of my and recent smell I smooth the is from knee-high granddaughters’ shots to wall him the three of generations wedding all we sound smoke. boots tournaments photos, late the at Every family next soccer portraits narrow, walls to wife. ranging potent inch","<output>""title"": ""The Last House Guest"",""author"": ""Megan Miranda""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
"Harvey moves out of the hallway, so we can slide into the breakfast nook after him. “Look who decided to finally show up,” he says, “and she brought us a new fifth!”",['harvey'],"so Harvey “and “Look out the says, slide brought hallway, after to a new nook the show into finally he breakfast him. we can who decided moves she fifth!” up,” of us","<output>""title"": ""One of Us Is Lying"", ""author"": ""Karen M. McManus""</output>","The passage appears fragmented or possibly jumbled, making it difficult to identify the source with high certainty. However, I will provide a guess based on the limited and unclear context.

<output>""title"": ""Fahrenheit 451"",""author"": ""Ray Bradbury""</output>"
They’re both wearing the same visors as when I met them. Both have matching cigars hanging out of their mouths. Lenore yanks hers out from between her lips as she stands to greet me. “What a nice surprise!”,['lenore'],as her cigars stands wearing of greet their the out mouths. yanks surprise!” me. to Both visors hers lips I them. Lenore a met from matching hanging “What have both out They’re same she as nice when between,"<output>""title"": ""Infinite Jest"",""author"": ""David Foster Wallace""</output>","The given passage is quite distorted and does not resemble a coherent excerpt from a known book. However, based on the peculiar style and fragmented structure, it could be an experimental or postmodern work, though identifying the exact book is challenging. My best guess is:

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
"He puts the pitcher back in the fridge. “Go put on something nice, Daphne. We have to leave soon.” He squeezes past me to leave the kitchen.",['daphne'],"the nice, Daphne. on something We the He to to back kitchen. “Go past in He fridge. put have pitcher leave me puts soon.” the squeezes leave","<output>""title"": ""It Ends with Us"", ""author"": ""Colleen Hoover""</output>","The provided passage seems highly nonsensical and fragmented, making it difficult to identify a specific book or author conclusively. However, based on the peculiar structure, it might resemble experimental or avant-garde literature or a deliberately altered excerpt. 

<output>""title"": ""Finnegans Wake"",""author"": ""James Joyce""</output>"
"And when I’m done telling him about the fundraiser, I find myself talking about the kids, about the staff, about our desperate need for an updated stock of kid lit, and by the end of our conversation, Lance has not only pledged ten kite-building sets for prizes but also offered to host a miniature-painting class for us in the fall.",['lance'],"by and also miniature-painting kite-building the telling conversation, but only has for about kids, stock him an our sets myself about find need a us our in end the of prizes Lance I staff, offered host talking updated fundraiser, the I’m fall. done ten the kid about when not for of to about the pledged And desperate class for lit,","<output>""title"": ""The Kindred Spirits Supper Club"",""author"": ""Amy E. Reichert""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
"Slow, soft, familiar. A relief of a kiss, and over way, way too soon, though from the way Petra is gawking at us, you’d think we’d just performed a handstanding sixty-nine in front of God and everyone.",['petra'],"performed sixty-nine is way the and handstanding way, though you’d soon, gawking us, of way and from everyone. too familiar. Petra a of front kiss, a in soft, just God at we’d think relief over A Slow,","<output>""title"": ""Delilah Green Doesn't Care"", ""author"": ""Ashley Herring Blake""</output>","<output>""title"": ""A Little Life"",""author"": ""Hanya Yanagihara""</output>"
"“She always thought I was reading too much into it,” he says. “But I think they were worried I couldn’t give Petra everything they want for her.”",['petra'],"I into for was I give everything think they he it,” Petra always they reading thought much “But I “She want worried too her.” couldn’t were says.","<output>""title"": ""Little Fires Everywhere"",""author"": ""Celeste Ng""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
"Every night that week, we cook together—or Miles cooks, while Jules sits on the counter, curating a country playlist and singing along at top volume into whatever utensil her brother has most recently set down. I chop whatever he puts in front of me, wash whichever dishes he’s done with.",['jules'],"her Jules puts on wash together—or he’s me, chop in week, counter, sits whichever down. that I dishes whatever front cooks, he done Every Miles brother with. curating cook whatever has a utensil we the night country volume most playlist singing along and recently set while top into at of","<output>""title"": ""People We Meet on Vacation"",""author"": ""Emily Henry""</output>","<output>""title"": ""Unknown"",""author"": ""Unknown""</output>"
"“Daphne,” he murmurs behind me, still tender and sweet, pulling me in, my back to his chest, and coiling his arms around my waist.",['daphne'],"back to me in, his he chest, waist. and pulling his behind my and arms coiling me, “Daphne,” murmurs tender around sweet, still my","<output>""title"": ""Bridgerton: The Duke and I"", ""author"": ""Julia Quinn""</output>","<output>""title"": ""Bridgerton: The Duke and I"", ""author"": ""Julia Quinn""</output>"
"His smile widens. His fingers move absently to my chin, and I feel myself being drawn into him, our stomachs connecting, his heart pattering through me. “It’s a camel, Daphne,” he says wryly. “In sunglasses.”",['daphne'],"fingers heart our smile absently His sunglasses.” feel chin, my connecting, widens. to he wryly. pattering being camel, stomachs and drawn move “It’s myself him, through His me. says into his a “In Daphne,” I","<output>""title"": ""Defy Me"",""author"": ""Tahereh Mafi""</output>","The text provided appears to be jumbled and lacks coherent context or structure, which makes it difficult to attribute to a specific book or author. However, based on the given fragments and stylistic hints, my guess is:

<output>""title"": ""It Ends with Us"",""author"": ""Colleen Hoover""</output>"
"She groans. “A week from Saturday. Forty-three. And no to big plans. It just so happens to fall on the weekend Mulder and I get back from visiting my mom in Sedona, so he’ll be at his dad’s place, and I’ll be at home rotting my brain to the tune of Bravo reality TV.”",['mulder'],"She It big home weekend mom place, of happens be and the his rotting I just to to brain my Bravo And from I’ll be fall reality to back so visiting no plans. Sedona, on Saturday. TV.” my groans. the so get at tune at Mulder in “A dad’s and he’ll from week Forty-three.","<output>""title"": ""The X-Files: Earth Children Are Weird"",""author"": ""Joe Harris""</output>","The passage provided appears to be heavily scrambled and disjointed, making it difficult to pinpoint its origin. However, based on the tone, vocabulary, and style, I will make a speculative guess.

<output>""title"": ""White Noise"", ""author"": ""Don DeLillo""</output>"
"“Like a room,” I say. “In your house. You said Duke never wanted you to, right? And you’re tired of looking at the same four walls. So pick a wall color, and I’ll come help paint.”",['duke'],"four pick said you’re So same at wall you And come never wanted I your help room,” “Like Duke the say. a “In a and You of tired looking to, house. color, paint.” walls. I’ll right?","<output>""title"": ""Things We Never Got Over"",""author"": ""Lucy Score""</output>","<output>""title"": ""The Great Gatsby"",""author"": ""F. Scott Fitzgerald""</output>"
"There isn’t much else in the room. A bed, a dresser, a side table. I wonder whether Duke took most of the furniture with him. There’s a sadness to this space that I didn’t expect.",['duke'],"dresser, isn’t of Duke whether space him. furniture bed, There a There’s room. a I to took a that A side most in this with sadness wonder I else table. expect. didn’t the the much","<output>""title"": ""Verity"", ""author"": ""Colleen Hoover""</output>","The passage provided appears to be jumbled and does not form coherent text, which makes it challenging to identify its origin. However, based on its structure and potential themes, I will still attempt a guess.

<output>""title"": ""Infinite Jest"",""author"": ""David Foster Wallace""</output>"
